t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,4,14.583000,3.886878,1.064000,5.106607,1.313000,1.963000,14.583000,14.583000,14.583000,14.583000,0.011891,0.001108,0.070143,0.140972,calls/second,seconds
1515115761,4,1.035000,0.773921,0.432000,0.214540,0.844000,1.035000,1.035000,1.035000,1.035000,1.035000,0.030711,0.034025,0.138956,0.177040,calls/second,seconds
1515116661,5,2.362000,1.306194,0.530000,0.773873,0.962000,2.063000,2.362000,2.362000,2.362000,2.362000,0.020083,0.008490,0.184443,0.308965,calls/second,seconds
1515158061,4,1.137000,0.918025,0.457000,0.251885,1.079000,1.137000,1.137000,1.137000,1.137000,1.137000,0.009680,0.000320,0.054643,0.129705,calls/second,seconds
1515158961,5,2.123000,1.146002,0.486000,0.588364,1.072000,1.217000,2.123000,2.123000,2.123000,2.123000,0.008983,0.000048,0.065628,0.218937,calls/second,seconds
1515159861,9,2.489000,1.221286,0.312000,0.756770,0.954000,1.468000,2.489000,2.489000,2.489000,2.489000,0.017503,0.001670,0.046708,0.120332,calls/second,seconds
1515169761,9,2.143000,1.132900,0.310000,0.652907,1.150000,1.310000,2.143000,2.143000,2.143000,2.143000,0.010257,0.000004,0.013894,0.080236,calls/second,seconds
1515194061,4,1.040000,0.843263,0.352000,0.251745,0.985000,1.040000,1.040000,1.040000,1.040000,1.040000,0.006582,0.000012,0.028502,0.104428,calls/second,seconds
1515194961,4,1.022000,0.756878,0.328000,0.290505,0.971000,1.022000,1.022000,1.022000,1.022000,1.022000,0.027130,0.026499,0.132179,0.174113,calls/second,seconds
1515195861,5,2.191000,1.099313,0.497000,0.703942,0.583000,1.592000,2.191000,2.191000,2.191000,2.191000,0.006271,0.000001,0.029489,0.167690,calls/second,seconds
