t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,8,0.009000,0.006568,0.006000,0.000767,0.006000,0.007000,0.009000,0.009000,0.009000,0.009000,0.024880,0.002949,0.079900,0.146772,calls/second,seconds
1515115761,4,0.006000,0.005216,0.003000,0.001318,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.035246,0.044603,0.148163,0.180967,calls/second,seconds
1515116661,8,0.007000,0.005787,0.003000,0.001237,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.031517,0.008949,0.186080,0.309842,calls/second,seconds
1515158061,4,0.008000,0.005372,0.003000,0.001756,0.005000,0.006000,0.008000,0.008000,0.008000,0.008000,0.010102,0.000388,0.057316,0.131852,calls/second,seconds
1515158961,8,0.006000,0.004815,0.003000,0.001467,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.014263,0.000051,0.066193,0.219552,calls/second,seconds
1515159861,12,0.068000,0.006557,0.006000,0.003661,0.006000,0.007000,0.007000,0.007000,0.007000,0.068000,0.024159,0.002399,0.052909,0.124767,calls/second,seconds
1515169761,12,0.007000,0.006139,0.003000,0.000390,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.013865,0.000007,0.015614,0.082795,calls/second,seconds
1515170661,22,0.009000,0.006067,0.003000,0.001209,0.006000,0.006000,0.009000,0.009000,0.009000,0.009000,0.039371,0.022603,0.063096,0.125718,calls/second,seconds
1515194061,4,0.007000,0.005727,0.004000,0.001115,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.006714,0.000014,0.029435,0.105582,calls/second,seconds
1515194961,8,0.077000,0.022897,0.006000,0.030235,0.006000,0.006000,0.077000,0.077000,0.077000,0.077000,0.028234,0.015971,0.250306,0.446755,calls/second,seconds
1515195861,8,0.078000,0.016412,0.005000,0.025660,0.006000,0.006000,0.078000,0.078000,0.078000,0.078000,0.009976,0.000001,0.029750,0.168166,calls/second,seconds
