t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,194080,0.001000,0.000024,0.000000,0.000152,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,227.267083,19.262294,212.852009,148.473632,calls/second,seconds
1513110998,9,0.001000,0.000104,0.000000,0.000305,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.010665,0.000001,0.074832,0.475847,calls/second,seconds
1513123598,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008264,0.001616,0.183754,0.404433,calls/second,seconds
1513248006,9,0.002000,0.000456,0.000000,0.000702,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.010706,0.000001,0.074832,0.475847,calls/second,seconds
1513267498,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011204,0.000002,0.085506,0.497473,calls/second,seconds
1513296298,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011402,0.008559,0.256449,0.451961,calls/second,seconds
1513382698,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011402,0.008559,0.256449,0.451961,calls/second,seconds
1513469098,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011402,0.008559,0.256449,0.451961,calls/second,seconds
1513555498,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011402,0.008559,0.256449,0.451961,calls/second,seconds
1513641898,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011402,0.008559,0.256449,0.451961,calls/second,seconds
1513728573,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1513814973,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1513871673,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005605,0.011763,0.113483,0.165576,calls/second,seconds
1513901373,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1513987773,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1514074173,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1514160573,3,0.001000,0.000333,0.000000,0.000471,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1514246973,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005575,0.000087,0.102541,0.332966,calls/second,seconds
1514333373,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1514419773,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1514476473,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005602,0.011763,0.113483,0.165576,calls/second,seconds
1514506173,3,0.001000,0.000333,0.000000,0.000471,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1514592573,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1514678973,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1514765373,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1514851773,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1514938173,3,0.001000,0.000333,0.000000,0.000471,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005574,0.000087,0.102541,0.332966,calls/second,seconds
1515080661,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010656,0.000001,0.074832,0.475847,calls/second,seconds
