t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513132598,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513154198,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513175781,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002414,0.000000,0.026001,0.160831,calls/second,seconds
1513289098,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513310698,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513332298,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513353898,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513375498,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513397098,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513418698,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513440298,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513461898,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513483498,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513505098,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513526698,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513548298,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513569898,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513591498,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513613098,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513634698,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513656298,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513677898,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1513698873,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011146,0.023527,0.226965,0.331151,calls/second,seconds
1513720473,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.011148,0.023527,0.226965,0.331151,calls/second,seconds
1513742073,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.011152,0.023527,0.226965,0.331151,calls/second,seconds
1513763673,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011147,0.023527,0.226965,0.331151,calls/second,seconds
1513785273,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.011153,0.023527,0.226965,0.331151,calls/second,seconds
1513806873,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011147,0.023527,0.226965,0.331151,calls/second,seconds
1513828473,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011148,0.023527,0.226965,0.331151,calls/second,seconds
