t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,85,0.001000,0.000057,0.000000,0.000232,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100677,0.095835,0.105150,0.139081,calls/second,seconds
1513090854,90,0.001000,0.000000,0.000000,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100787,0.095836,0.104291,0.136987,calls/second,seconds
1513091754,90,0.001000,0.000107,0.000000,0.000309,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100787,0.095836,0.104351,0.137020,calls/second,seconds
1513092654,90,0.001000,0.000095,0.000000,0.000293,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100789,0.095835,0.104250,0.136967,calls/second,seconds
1513093554,90,0.001000,0.000018,0.000000,0.000133,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.100787,0.095836,0.104341,0.137013,calls/second,seconds
1513094454,90,0.001000,0.000004,0.000000,0.000066,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100789,0.095836,0.104330,0.137005,calls/second,seconds
1513095354,90,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100790,0.095836,0.104357,0.137025,calls/second,seconds
1513096254,90,0.001000,0.000011,0.000000,0.000104,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.100791,0.095836,0.104357,0.137025,calls/second,seconds
1513097154,90,0.001000,0.000002,0.000000,0.000042,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100792,0.095836,0.104348,0.137017,calls/second,seconds
1513098054,90,0.001000,0.000160,0.000000,0.000366,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100793,0.095836,0.104357,0.137025,calls/second,seconds
1513098954,90,0.001000,0.000174,0.000000,0.000379,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100792,0.095836,0.104344,0.137015,calls/second,seconds
1513099854,90,0.001000,0.000003,0.000000,0.000051,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100783,0.095836,0.104354,0.137022,calls/second,seconds
1513100754,90,0.001000,0.000118,0.000000,0.000323,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100793,0.095836,0.104357,0.137025,calls/second,seconds
1513101654,90,0.001000,0.000000,0.000000,0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100779,0.095836,0.104357,0.137025,calls/second,seconds
1513102554,90,0.001000,0.000003,0.000000,0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100796,0.095836,0.104345,0.137015,calls/second,seconds
