t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,2,0.001000,0.000011,0.000000,0.000104,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.003610,0.000271,0.033950,0.109994,calls/second,seconds
1513090854,3,0.001000,0.000011,0.000000,0.000104,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.003515,0.000271,0.013950,0.079658,calls/second,seconds
1513091754,3,0.001000,0.000011,0.000000,0.000104,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.003515,0.000271,0.013959,0.079661,calls/second,seconds
1513092654,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003515,0.000250,0.013926,0.079653,calls/second,seconds
1513093554,3,0.001000,0.000989,0.000000,0.000105,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003515,0.000271,0.013959,0.079661,calls/second,seconds
1513094454,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003515,0.000271,0.013959,0.079661,calls/second,seconds
1513095354,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003515,0.000250,0.013926,0.079653,calls/second,seconds
1513096254,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003515,0.000250,0.013935,0.079656,calls/second,seconds
1513097154,3,0.001000,0.000989,0.000000,0.000105,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003515,0.000271,0.013950,0.079658,calls/second,seconds
1513098054,3,0.001000,0.000989,0.000000,0.000105,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003515,0.000271,0.013959,0.079661,calls/second,seconds
1513098954,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003515,0.000250,0.013926,0.079653,calls/second,seconds
1513099854,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003515,0.000271,0.013950,0.079658,calls/second,seconds
1513100754,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003515,0.000271,0.013959,0.079661,calls/second,seconds
1513101654,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003515,0.000250,0.013935,0.079656,calls/second,seconds
1513102554,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003515,0.000271,0.013959,0.079661,calls/second,seconds
1513103454,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003515,0.000271,0.013950,0.079658,calls/second,seconds
