t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513091754,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002342,0.000000,0.023922,0.156425,calls/second,seconds
1513092654,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003611,0.000045,0.065027,0.218308,calls/second,seconds
1513093554,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.007880,0.006740,0.176761,0.304674,calls/second,seconds
1513095354,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002342,0.000000,0.023922,0.156425,calls/second,seconds
1513096254,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003611,0.000045,0.065027,0.218308,calls/second,seconds
1513097154,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007880,0.006740,0.176761,0.304674,calls/second,seconds
1513098954,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002342,0.000000,0.023922,0.156425,calls/second,seconds
1513099854,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003611,0.000045,0.065027,0.218308,calls/second,seconds
1513100754,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007880,0.006740,0.176761,0.304674,calls/second,seconds
1513102554,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002342,0.000000,0.023922,0.156425,calls/second,seconds
1513103454,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003611,0.000045,0.065027,0.218308,calls/second,seconds
1513104354,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007879,0.006740,0.176761,0.304674,calls/second,seconds
1513112798,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513113698,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513114598,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008159,0.007326,0.179732,0.306371,calls/second,seconds
1513116398,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513117298,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003668,0.000049,0.066120,0.219525,calls/second,seconds
1513118198,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008157,0.007326,0.179732,0.306371,calls/second,seconds
1513119998,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513120898,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003668,0.000049,0.066120,0.219525,calls/second,seconds
1513121798,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008158,0.007326,0.179732,0.306371,calls/second,seconds
1513123598,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513124498,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513125398,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008157,0.007326,0.179732,0.306371,calls/second,seconds
1513127198,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513128098,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513128998,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008157,0.007326,0.179732,0.306371,calls/second,seconds
1513130798,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513131698,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513132598,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008156,0.007326,0.179732,0.306371,calls/second,seconds
1513134398,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513135298,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513136198,2,0.002000,0.001000,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.008160,0.007326,0.179732,0.306371,calls/second,seconds
1513137998,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513138898,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513139798,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008157,0.007326,0.179732,0.306371,calls/second,seconds
1513141598,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513142498,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513143398,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008157,0.007326,0.179732,0.306371,calls/second,seconds
1513145198,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513146098,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513146998,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008159,0.007326,0.179732,0.306371,calls/second,seconds
1513148798,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513149698,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513150598,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008158,0.007326,0.179732,0.306371,calls/second,seconds
1513152398,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1513153298,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513154198,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008157,0.007326,0.179732,0.306371,calls/second,seconds
1513155998,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002367,0.000000,0.024324,0.157296,calls/second,seconds
