t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513130798,8,0.367000,0.094375,0.000000,0.125106,0.034000,0.198000,0.367000,0.367000,0.367000,0.367000,0.020061,0.002406,0.436051,1.037351,calls/second,seconds
1513303498,8,0.465000,0.111750,0.000000,0.158645,0.009000,0.208000,0.465000,0.465000,0.465000,0.465000,0.026850,0.012736,0.608558,1.159259,calls/second,seconds
1513389898,8,0.324000,0.088750,0.000000,0.119468,0.003000,0.190000,0.324000,0.324000,0.324000,0.324000,0.026839,0.012736,0.608558,1.159259,calls/second,seconds
1513476298,8,0.381000,0.085875,0.000000,0.127342,0.011000,0.166000,0.381000,0.381000,0.381000,0.381000,0.026843,0.012736,0.608558,1.159259,calls/second,seconds
1513562698,8,0.340000,0.092750,0.000000,0.124542,0.005000,0.201000,0.340000,0.340000,0.340000,0.340000,0.026840,0.012736,0.608558,1.159259,calls/second,seconds
1513649098,8,0.421000,0.095500,0.000000,0.142735,0.005000,0.205000,0.421000,0.421000,0.421000,0.421000,0.026846,0.012736,0.608558,1.159259,calls/second,seconds
1513735773,8,0.415000,0.106125,0.000000,0.145792,0.008000,0.213000,0.415000,0.415000,0.415000,0.415000,0.013952,0.000130,0.243332,0.854043,calls/second,seconds
1513822173,8,0.222000,0.064125,0.000000,0.083002,0.007000,0.150000,0.222000,0.222000,0.222000,0.222000,0.013948,0.000130,0.243332,0.854043,calls/second,seconds
1513908573,8,0.243000,0.069625,0.000000,0.090395,0.008000,0.151000,0.243000,0.243000,0.243000,0.243000,0.013951,0.000130,0.243332,0.854043,calls/second,seconds
1513994973,8,0.348000,0.098750,0.000000,0.129491,0.008000,0.223000,0.348000,0.348000,0.348000,0.348000,0.013951,0.000130,0.243332,0.854043,calls/second,seconds
1514081373,8,0.597000,0.134703,0.000000,0.199978,0.006000,0.247000,0.597000,0.597000,0.597000,0.597000,0.013958,0.000130,0.243332,0.854043,calls/second,seconds
1514167773,8,0.433000,0.106125,0.000000,0.149459,0.007000,0.205000,0.433000,0.433000,0.433000,0.433000,0.013953,0.000130,0.243332,0.854043,calls/second,seconds
1514254173,8,0.355000,0.102625,0.000000,0.134030,0.008000,0.242000,0.355000,0.355000,0.355000,0.355000,0.013954,0.000130,0.243332,0.854043,calls/second,seconds
1514340573,8,0.431000,0.125292,0.000000,0.163463,0.009000,0.266000,0.431000,0.431000,0.431000,0.431000,0.013953,0.000130,0.243332,0.854043,calls/second,seconds
1514426973,8,0.279000,0.077875,0.000000,0.102319,0.007000,0.175000,0.279000,0.279000,0.279000,0.279000,0.013950,0.000130,0.243332,0.854043,calls/second,seconds
