t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,2,0.009000,0.008500,0.008000,0.000500,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.007862,0.006740,0.176761,0.304674,calls/second,seconds
1513090854,2,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.003612,0.000045,0.065027,0.218308,calls/second,seconds
1513091754,4,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.004685,0.000518,0.026819,0.158108,calls/second,seconds
1513092654,2,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.003612,0.000045,0.065027,0.218308,calls/second,seconds
1513093554,4,0.005000,0.005000,0.004000,0.000008,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.004685,0.000539,0.026844,0.158113,calls/second,seconds
1513094454,2,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.003612,0.000045,0.065027,0.218308,calls/second,seconds
1513095354,4,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004685,0.000539,0.026844,0.158113,calls/second,seconds
1513096254,2,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.003612,0.000045,0.065027,0.218308,calls/second,seconds
1513097154,4,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.004685,0.000496,0.026795,0.158103,calls/second,seconds
1513098054,2,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.003612,0.000045,0.065027,0.218308,calls/second,seconds
1513098954,4,0.005000,0.004000,0.004000,0.000008,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004685,0.000539,0.026844,0.158113,calls/second,seconds
1513099854,2,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.003611,0.000045,0.065027,0.218308,calls/second,seconds
1513100754,4,0.005000,0.005000,0.004000,0.000011,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.004685,0.000539,0.026844,0.158113,calls/second,seconds
1513101654,2,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.003611,0.000045,0.065027,0.218308,calls/second,seconds
1513102554,4,0.005000,0.004000,0.004000,0.000011,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004685,0.000539,0.026844,0.158113,calls/second,seconds
1513103454,2,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.003612,0.000045,0.065027,0.218308,calls/second,seconds
1513104354,4,0.005000,0.004000,0.004000,0.000011,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004685,0.000539,0.026844,0.158113,calls/second,seconds
1513105254,2,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.003612,0.000045,0.065027,0.218308,calls/second,seconds
1513110998,2,0.086000,0.084500,0.083000,0.001500,0.086000,0.086000,0.086000,0.086000,0.086000,0.086000,0.008136,0.007326,0.179732,0.306371,calls/second,seconds
1513111898,2,0.041000,0.041000,0.041000,0.000000,0.041000,0.041000,0.041000,0.041000,0.041000,0.041000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513112798,4,0.108000,0.106991,0.037000,0.001267,0.106000,0.108000,0.108000,0.108000,0.108000,0.108000,0.004733,0.000586,0.027295,0.158994,calls/second,seconds
1513113698,2,0.042000,0.041500,0.041000,0.000500,0.042000,0.042000,0.042000,0.042000,0.042000,0.042000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513114598,4,0.040000,0.029001,0.029000,0.000117,0.029000,0.029000,0.029000,0.029000,0.029000,0.029000,0.004733,0.000539,0.027246,0.158984,calls/second,seconds
1513115498,2,0.038000,0.038000,0.038000,0.000000,0.038000,0.038000,0.038000,0.038000,0.038000,0.038000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513116398,4,0.037000,0.036998,0.024000,0.000144,0.037000,0.037000,0.037000,0.037000,0.037000,0.037000,0.004733,0.000586,0.027295,0.158994,calls/second,seconds
1513117298,2,0.039000,0.039000,0.039000,0.000000,0.039000,0.039000,0.039000,0.039000,0.039000,0.039000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513118198,4,0.035000,0.035000,0.035000,0.000000,0.035000,0.035000,0.035000,0.035000,0.035000,0.035000,0.004733,0.000586,0.027295,0.158994,calls/second,seconds
1513119098,2,0.033000,0.032500,0.032000,0.000500,0.033000,0.033000,0.033000,0.033000,0.033000,0.033000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513119998,4,0.037000,0.035000,0.035000,0.000018,0.035000,0.035000,0.035000,0.035000,0.035000,0.035000,0.004733,0.000539,0.027246,0.158984,calls/second,seconds
1513120898,2,0.029000,0.029000,0.029000,0.000000,0.029000,0.029000,0.029000,0.029000,0.029000,0.029000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513121798,4,0.032000,0.031000,0.031000,0.000011,0.031000,0.031000,0.031000,0.031000,0.031000,0.031000,0.004733,0.000539,0.027246,0.158984,calls/second,seconds
1513122698,2,0.017000,0.016500,0.016000,0.000500,0.017000,0.017000,0.017000,0.017000,0.017000,0.017000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513123598,4,0.036000,0.035998,0.016000,0.000217,0.036000,0.036000,0.036000,0.036000,0.036000,0.036000,0.004733,0.000586,0.027295,0.158994,calls/second,seconds
1513124498,2,0.039000,0.038000,0.037000,0.001000,0.039000,0.039000,0.039000,0.039000,0.039000,0.039000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513125398,4,0.036000,0.033500,0.033000,0.000500,0.034000,0.034000,0.034000,0.034000,0.034000,0.034000,0.004733,0.000539,0.027246,0.158984,calls/second,seconds
1513126298,2,0.023000,0.022500,0.022000,0.000500,0.023000,0.023000,0.023000,0.023000,0.023000,0.023000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513127198,4,0.035000,0.034998,0.021000,0.000150,0.035000,0.035000,0.035000,0.035000,0.035000,0.035000,0.004733,0.000586,0.027295,0.158994,calls/second,seconds
1513128098,2,0.034000,0.034000,0.034000,0.000000,0.034000,0.034000,0.034000,0.034000,0.034000,0.034000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513128998,4,0.018000,0.017000,0.017000,0.000011,0.017000,0.017000,0.017000,0.017000,0.017000,0.017000,0.004733,0.000586,0.027295,0.158994,calls/second,seconds
1513129898,2,0.035000,0.034500,0.034000,0.000500,0.035000,0.035000,0.035000,0.035000,0.035000,0.035000,0.003669,0.000049,0.066120,0.219525,calls/second,seconds
1513130798,4,0.032000,0.020001,0.020000,0.000128,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.004733,0.000539,0.027246,0.158984,calls/second,seconds
