t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,16,0.008000,0.000251,0.000000,0.001103,0.000000,0.000000,0.001000,0.001000,0.008000,0.008000,0.051161,0.010667,0.308786,0.580506,calls/second,seconds
1513099854,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005466,0.000005,0.071375,0.357472,calls/second,seconds
1513110998,32,0.012000,0.000538,0.000000,0.001394,0.000000,0.001000,0.001000,0.001000,0.012000,0.012000,0.040075,0.000004,0.065206,0.346095,calls/second,seconds
1513248006,16,0.018000,0.001411,0.000000,0.003903,0.000000,0.001000,0.003000,0.018000,0.018000,0.018000,0.021230,0.000007,0.135923,0.703203,calls/second,seconds
1513267498,16,0.008000,0.000214,0.000000,0.001095,0.000000,0.000000,0.001000,0.001000,0.008000,0.008000,0.026352,0.000078,0.115499,0.418267,calls/second,seconds
1513702473,4,0.002000,0.000500,0.000000,0.000866,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.012770,0.004959,0.289439,0.570049,calls/second,seconds
1513703373,8,0.002000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.013460,0.015559,0.123780,0.421669,calls/second,seconds
1513818573,8,0.001000,0.000253,0.000000,0.000434,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.010473,0.000035,0.067484,0.348426,calls/second,seconds
1515080661,16,0.016000,0.001504,0.000000,0.003734,0.000000,0.001000,0.016000,0.016000,0.016000,0.016000,0.021613,0.000008,0.140390,0.710982,calls/second,seconds
1515094161,4,0.003000,0.001000,0.000000,0.001225,0.001000,0.003000,0.003000,0.003000,0.003000,0.003000,0.019376,0.028539,0.410734,0.640590,calls/second,seconds
1515099561,4,0.002000,0.000500,0.000000,0.000866,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.016724,0.017310,0.371647,0.619589,calls/second,seconds
1515100461,4,0.002000,0.000500,0.000000,0.000866,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.004564,0.000000,0.044019,0.304279,calls/second,seconds
1515154461,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.007139,0.000077,0.125790,0.431792,calls/second,seconds
1515158061,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.040813,0.178504,0.592655,0.723870,calls/second,seconds
1515509061,4,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005048,0.000002,0.058437,0.334417,calls/second,seconds
1515531561,4,0.002000,0.000750,0.000000,0.000829,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.011013,0.002155,0.245005,0.539244,calls/second,seconds
1515769897,16,0.010000,0.000889,0.000000,0.001601,0.000000,0.002000,0.003000,0.003000,0.010000,0.010000,0.020211,0.000004,0.062509,0.340641,calls/second,seconds
1515781585,24,0.017000,0.000575,0.000000,0.000923,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.039549,0.001455,0.128930,0.425635,calls/second,seconds
1515782918,16,0.022000,0.001612,0.000000,0.004397,0.000000,0.002000,0.002000,0.022000,0.022000,0.022000,0.027150,0.000070,0.122006,0.427153,calls/second,seconds
1516041169,16,0.007000,0.000610,0.000000,0.001504,0.000000,0.001000,0.001000,0.007000,0.007000,0.007000,0.019214,0.000002,0.104123,0.643404,calls/second,seconds
1516042069,16,0.001000,0.000213,0.000000,0.000409,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.039207,0.002291,0.429342,1.031733,calls/second,seconds
1516877847,16,0.012000,0.000997,0.000000,0.002733,0.000000,0.001000,0.012000,0.012000,0.012000,0.012000,0.023496,0.000013,0.088594,0.384221,calls/second,seconds
1516971447,4,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.007648,0.000150,0.143731,0.451416,calls/second,seconds
1516976847,8,0.002000,0.000387,0.000000,0.000715,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.009245,0.000001,0.046288,0.309402,calls/second,seconds
1517223447,4,0.002000,0.000500,0.000000,0.000866,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.015306,0.011411,0.341932,0.602615,calls/second,seconds
1517522958,16,0.008000,0.000547,0.000000,0.001462,0.000000,0.001000,0.001000,0.008000,0.008000,0.008000,0.019500,0.000002,0.055888,0.329077,calls/second,seconds
1517609358,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.006746,0.000047,0.113819,0.417637,calls/second,seconds
1517610258,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029813,0.099612,0.527393,0.696260,calls/second,seconds
1518701058,8,0.001000,0.000145,0.000000,0.000352,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.012632,0.000027,0.101372,0.401744,calls/second,seconds
1519232958,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068018,0.064371,0.471541,0.670040,calls/second,seconds
1519234758,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.010070,0.001203,0.218025,0.518675,calls/second,seconds
1519235658,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022871,0.051142,0.461560,0.665992,calls/second,seconds
1519236558,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026591,0.071375,0.493379,0.680958,calls/second,seconds
1519241058,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025949,0.008852,0.301682,0.576874,calls/second,seconds
1519242858,20,0.001000,0.000001,0.000000,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027057,0.002836,0.086798,0.367227,calls/second,seconds
1519243758,12,0.001000,0.000187,0.000000,0.000390,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.017353,0.000016,0.085075,0.378227,calls/second,seconds
1519248258,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025816,0.071375,0.493379,0.680958,calls/second,seconds
1519252758,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006226,0.000020,0.096346,0.395067,calls/second,seconds
1519254558,16,0.001000,0.000032,0.000000,0.000175,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.023672,0.000128,0.177336,0.765330,calls/second,seconds
1519255458,8,0.001000,0.000112,0.000000,0.000315,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.008990,0.000000,0.043494,0.302739,calls/second,seconds
1519263558,8,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.394310,0.681891,0.773988,0.791185,calls/second,seconds
1519264458,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006042,0.000015,0.090132,0.386385,calls/second,seconds
1519306758,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.008339,0.000317,0.166992,0.474561,calls/second,seconds
1519373358,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.090786,0.446428,0.711905,0.769486,calls/second,seconds
1519374973,16,0.008000,0.000674,0.000000,0.001867,0.000000,0.001000,0.008000,0.008000,0.008000,0.008000,0.019802,0.000004,0.167726,0.988522,calls/second,seconds
1519377673,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.006345,0.000024,0.099612,0.399481,calls/second,seconds
1519380373,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.022990,0.051142,0.461560,0.665992,calls/second,seconds
1519381976,16,0.002000,0.000121,0.000000,0.000391,0.000000,0.000000,0.001000,0.002000,0.002000,0.002000,0.021126,0.000006,0.069873,0.353971,calls/second,seconds
1519661541,16,0.007000,0.000442,0.000000,0.001320,0.000000,0.000000,0.001000,0.007000,0.007000,0.007000,0.022656,0.000010,0.082025,0.373951,calls/second,seconds
1519664145,16,0.003000,0.000461,0.000000,0.000760,0.000000,0.001000,0.002000,0.003000,0.003000,0.003000,0.022206,0.000008,0.077892,0.367702,calls/second,seconds
