t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,12,0.002000,0.000500,0.000000,0.000804,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.033697,0.004409,0.260338,0.548894,calls/second,seconds
1515115761,8,0.002000,0.000344,0.000000,0.000643,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.060876,0.112743,0.537026,0.700248,calls/second,seconds
1515116661,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.017864,0.022226,0.390702,0.630002,calls/second,seconds
1515122961,4,0.002000,0.000500,0.000000,0.000866,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.006053,0.000015,0.090132,0.386385,calls/second,seconds
1515158061,8,0.002000,0.000343,0.000000,0.000641,0.000000,0.000000,0.002000,0.002000,0.002000,0.002000,0.019308,0.001060,0.211181,0.513024,calls/second,seconds
1515158961,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.007492,0.000127,0.139019,0.446428,calls/second,seconds
1515159861,8,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.016643,0.001676,0.170375,0.475364,calls/second,seconds
1515169761,12,0.002000,0.000488,0.000000,0.000857,0.000000,0.000000,0.002000,0.002000,0.002000,0.002000,0.013659,0.000005,0.046754,0.308352,calls/second,seconds
1515170661,40,0.001000,0.000330,0.000000,0.000470,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.071623,0.031506,0.173994,0.461975,calls/second,seconds
1515194061,8,0.002000,0.000348,0.000000,0.000651,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.013141,0.000041,0.110213,0.413073,calls/second,seconds
1515194961,8,0.001000,0.000269,0.000000,0.000444,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.028778,0.019114,0.334420,0.596577,calls/second,seconds
1515195861,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005164,0.000002,0.062465,0.341932,calls/second,seconds
