t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513705173,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002778,0.000003,0.037517,0.181740,calls/second,seconds
1513708773,16,0.002000,0.000876,0.000000,0.000928,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.025283,0.000096,0.398446,1.597926,calls/second,seconds
1515094161,2,0.002000,0.001000,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.017490,0.069510,0.281875,0.355953,calls/second,seconds
1515100461,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1515104961,248,0.208000,0.003640,0.000000,0.017991,0.000000,0.001000,0.005000,0.060000,0.074000,0.208000,0.701104,0.279393,0.942898,1.307563,calls/second,seconds
1515115761,40,0.002000,0.000221,0.000000,0.000477,0.000000,0.000000,0.001000,0.002000,0.002000,0.002000,0.304416,0.210531,0.612922,0.731988,calls/second,seconds
1515116661,52,0.002000,0.000380,0.000000,0.000561,0.000000,0.001000,0.001000,0.002000,0.002000,0.002000,0.204837,0.067175,1.470004,2.468401,calls/second,seconds
1515158061,42,0.002000,0.000479,0.000000,0.000505,0.000000,0.001000,0.001000,0.001000,0.001000,0.002000,0.101371,0.015879,0.246622,0.538375,calls/second,seconds
1515158961,632,0.099000,0.001659,0.000000,0.006968,0.001000,0.001000,0.002000,0.008000,0.049000,0.069000,0.809260,0.014835,0.414672,0.549709,calls/second,seconds
1515159861,92,0.002000,0.000419,0.000000,0.000622,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.178563,0.015211,0.246539,0.521245,calls/second,seconds
1515169761,92,0.002000,0.000393,0.000000,0.000571,0.000000,0.001000,0.001000,0.002000,0.002000,0.002000,0.104723,0.000044,0.074921,0.349644,calls/second,seconds
1515170661,132,0.002000,0.000420,0.000000,0.000593,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.236213,0.135617,0.378576,0.754311,calls/second,seconds
1515194061,40,0.002000,0.000352,0.000000,0.000531,0.000000,0.001000,0.001000,0.002000,0.002000,0.002000,0.065705,0.000074,0.125536,0.431694,calls/second,seconds
1515194961,64,0.002000,0.000353,0.000000,0.000537,0.000000,0.001000,0.001000,0.002000,0.002000,0.002000,0.225851,0.129952,1.537036,2.696006,calls/second,seconds
1515195861,52,0.002000,0.000365,0.000000,0.000555,0.000000,0.001000,0.001000,0.002000,0.002000,0.002000,0.064843,0.000007,0.235024,1.339718,calls/second,seconds
1516971447,18,0.002000,0.000500,0.000000,0.000606,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.035725,0.000845,0.615851,1.847525,calls/second,seconds
1517224347,161,0.153000,0.004998,0.000000,0.019649,0.000000,0.001000,0.012000,0.081000,0.109000,0.153000,0.237080,0.000045,0.100145,0.274149,calls/second,seconds
1518701058,18,0.001000,0.000227,0.000000,0.000419,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.030023,0.000154,0.393664,1.455944,calls/second,seconds
1519235658,209,0.095000,0.002568,0.000000,0.012285,0.000000,0.001000,0.004000,0.061000,0.068000,0.095000,1.779509,1.413019,1.115108,0.921172,calls/second,seconds
1519237458,218,0.140000,0.000022,0.000000,0.001003,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.347202,0.153442,0.271691,0.351562,calls/second,seconds
