t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513110998,217,2.469000,0.107423,0.000000,0.228758,0.007000,0.030000,0.659000,0.999000,0.999000,0.999000,0.276228,0.160711,0.541323,2.306412,calls/second,seconds
1513111898,120,0.720000,0.088435,0.000000,0.171616,0.005000,0.058000,0.441000,0.615000,0.615000,0.615000,0.149023,0.158676,0.299779,1.067667,calls/second,seconds
1513112798,120,0.658000,0.098105,0.000000,0.190755,0.005000,0.057000,0.523000,0.563000,0.563000,0.563000,0.148996,0.160788,0.300228,1.067749,calls/second,seconds
1513113698,120,0.633000,0.086669,0.000000,0.170472,0.006000,0.048000,0.463000,0.514000,0.514000,0.523000,0.149015,0.158782,0.299965,1.067704,calls/second,seconds
1513114598,120,0.688000,0.095618,0.000000,0.184908,0.006000,0.057000,0.538000,0.565000,0.565000,0.565000,0.149010,0.160804,0.300258,1.067757,calls/second,seconds
1513115498,120,0.628000,0.087620,0.000000,0.171144,0.004000,0.057000,0.469000,0.504000,0.504000,0.539000,0.149007,0.160704,0.300113,1.067726,calls/second,seconds
1513116398,120,0.784000,0.081738,0.000000,0.166224,0.005000,0.028000,0.507000,0.547000,0.547000,0.575000,0.149023,0.158777,0.299917,1.067694,calls/second,seconds
1513117298,120,0.629000,0.094037,0.000000,0.184852,0.005000,0.055000,0.530000,0.542000,0.542000,0.582000,0.149003,0.160079,0.300078,1.067722,calls/second,seconds
1513118198,120,0.603000,0.084201,0.000000,0.169153,0.004000,0.038000,0.518000,0.545000,0.545000,0.566000,0.149001,0.160130,0.300161,1.067742,calls/second,seconds
1513119098,120,0.590000,0.097116,0.000000,0.188051,0.006000,0.055000,0.544000,0.544000,0.544000,0.572000,0.149005,0.160434,0.300170,1.067742,calls/second,seconds
1513119998,120,0.586000,0.098896,0.000000,0.195701,0.005000,0.055000,0.541000,0.545000,0.545000,0.586000,0.149000,0.160804,0.300258,1.067757,calls/second,seconds
1513120898,120,0.613000,0.090506,0.000000,0.177684,0.005000,0.056000,0.511000,0.526000,0.526000,0.548000,0.148995,0.160803,0.300232,1.067749,calls/second,seconds
1513121798,120,0.619000,0.086891,0.000000,0.167561,0.004000,0.056000,0.467000,0.473000,0.473000,0.608000,0.148997,0.160804,0.300237,1.067747,calls/second,seconds
1513122698,120,0.809000,0.094230,0.000000,0.184812,0.005000,0.055000,0.551000,0.551000,0.551000,0.551000,0.149021,0.160028,0.299969,1.067692,calls/second,seconds
1513123598,120,0.689000,0.090465,0.000000,0.178152,0.005000,0.056000,0.503000,0.590000,0.590000,0.631000,0.149005,0.160028,0.299990,1.067701,calls/second,seconds
1513124498,120,0.646000,0.093975,0.000000,0.184997,0.005000,0.057000,0.544000,0.595000,0.595000,0.646000,0.148990,0.160771,0.300212,1.067747,calls/second,seconds
1513125398,120,0.640000,0.099951,0.000000,0.199915,0.004000,0.056000,0.577000,0.640000,0.640000,0.640000,0.149010,0.158729,0.299858,1.067679,calls/second,seconds
1513126298,120,0.613000,0.098844,0.000000,0.193919,0.005000,0.055000,0.557000,0.565000,0.565000,0.565000,0.148990,0.160804,0.300258,1.067757,calls/second,seconds
1513127198,120,0.789000,0.091799,0.000000,0.182161,0.005000,0.056000,0.521000,0.620000,0.620000,0.620000,0.149014,0.160788,0.300228,1.067749,calls/second,seconds
1513128098,120,0.627000,0.092450,0.000000,0.178652,0.005000,0.057000,0.511000,0.520000,0.520000,0.627000,0.148995,0.160771,0.300212,1.067747,calls/second,seconds
1513128998,120,0.585000,0.089140,0.000000,0.173150,0.005000,0.055000,0.519000,0.545000,0.545000,0.558000,0.148996,0.160803,0.300203,1.067734,calls/second,seconds
1513129898,120,0.653000,0.098723,0.000000,0.194750,0.005000,0.055000,0.553000,0.553000,0.553000,0.573000,0.149007,0.160771,0.300212,1.067747,calls/second,seconds
1513130798,120,0.598000,0.097673,0.000000,0.191581,0.005000,0.054000,0.529000,0.598000,0.598000,0.598000,0.148999,0.160804,0.300244,1.067750,calls/second,seconds
1513131698,120,0.624000,0.091057,0.000000,0.180960,0.005000,0.055000,0.542000,0.607000,0.607000,0.624000,0.148998,0.158749,0.299961,1.067714,calls/second,seconds
1513132598,120,0.984000,0.101516,0.000000,0.218341,0.005000,0.055000,0.584000,0.984000,0.984000,0.984000,0.148985,0.160467,0.300209,1.067748,calls/second,seconds
1513133498,120,0.554000,0.096729,0.000000,0.191035,0.006000,0.055000,0.542000,0.542000,0.542000,0.542000,0.148999,0.160804,0.300258,1.067757,calls/second,seconds
1513134398,120,0.691000,0.096585,0.000000,0.191185,0.005000,0.054000,0.529000,0.656000,0.656000,0.691000,0.149011,0.160025,0.299960,1.067695,calls/second,seconds
1513135298,120,0.605000,0.099464,0.000000,0.190777,0.006000,0.058000,0.579000,0.605000,0.605000,0.605000,0.148988,0.160803,0.300232,1.067749,calls/second,seconds
1513136198,120,0.612000,0.090388,0.000000,0.181308,0.004000,0.050000,0.535000,0.535000,0.535000,0.612000,0.149007,0.159760,0.300086,1.067731,calls/second,seconds
1513137098,120,0.606000,0.089087,0.000000,0.173643,0.005000,0.056000,0.527000,0.539000,0.539000,0.548000,0.149017,0.160465,0.300157,1.067731,calls/second,seconds
1513137998,120,0.615000,0.083662,0.000000,0.166042,0.004000,0.037000,0.501000,0.507000,0.507000,0.605000,0.148982,0.160804,0.300258,1.067757,calls/second,seconds
1513138898,120,0.579000,0.091276,0.000000,0.186586,0.003000,0.025000,0.528000,0.529000,0.529000,0.579000,0.149016,0.160799,0.300161,1.067725,calls/second,seconds
1513139798,120,0.604000,0.095305,0.000000,0.185076,0.005000,0.057000,0.520000,0.527000,0.527000,0.558000,0.148989,0.160804,0.300258,1.067757,calls/second,seconds
1513140698,120,0.599000,0.085308,0.000000,0.173929,0.003000,0.038000,0.547000,0.548000,0.548000,0.599000,0.149001,0.160804,0.300258,1.067757,calls/second,seconds
1513141598,120,0.571000,0.081876,0.000000,0.165471,0.004000,0.033000,0.494000,0.544000,0.544000,0.551000,0.149012,0.160095,0.300061,1.067710,calls/second,seconds
1513142498,120,0.593000,0.092260,0.000000,0.179883,0.005000,0.055000,0.491000,0.530000,0.530000,0.534000,0.148999,0.160804,0.300245,1.067753,calls/second,seconds
1513143398,120,0.688000,0.093196,0.000000,0.183616,0.005000,0.055000,0.497000,0.609000,0.609000,0.609000,0.149007,0.160096,0.300115,1.067732,calls/second,seconds
1513144298,120,0.655000,0.081005,0.000000,0.161350,0.005000,0.055000,0.527000,0.570000,0.570000,0.570000,0.149001,0.160804,0.300258,1.067757,calls/second,seconds
1513145198,120,0.617000,0.093684,0.000000,0.184752,0.005000,0.055000,0.538000,0.552000,0.552000,0.617000,0.149012,0.158676,0.299751,1.067654,calls/second,seconds
1513146098,120,0.621000,0.092064,0.000000,0.182025,0.004000,0.055000,0.544000,0.549000,0.549000,0.549000,0.148996,0.160804,0.300245,1.067753,calls/second,seconds
1513146998,120,0.623000,0.089975,0.000000,0.174484,0.005000,0.055000,0.471000,0.544000,0.544000,0.544000,0.149011,0.160804,0.300258,1.067757,calls/second,seconds
1513147898,120,0.613000,0.092042,0.000000,0.181755,0.005000,0.055000,0.532000,0.598000,0.598000,0.598000,0.149008,0.158781,0.299994,1.067719,calls/second,seconds
1513148798,120,0.590000,0.090071,0.000000,0.176894,0.005000,0.054000,0.523000,0.590000,0.590000,0.590000,0.149010,0.158727,0.299820,1.067668,calls/second,seconds
1513149698,96,0.546000,0.095970,0.000000,0.188167,0.005000,0.054000,0.534000,0.546000,0.546000,0.546000,0.119218,0.008009,0.235519,1.042918,calls/second,seconds
1513150598,120,0.671000,0.090105,0.000000,0.176101,0.004000,0.055000,0.500000,0.506000,0.506000,0.569000,0.148999,0.160804,0.300258,1.067757,calls/second,seconds
1513151498,120,0.605000,0.094172,0.000000,0.183966,0.005000,0.055000,0.525000,0.541000,0.541000,0.587000,0.148999,0.160804,0.300244,1.067750,calls/second,seconds
1513152398,120,0.565000,0.085502,0.000000,0.166078,0.005000,0.054000,0.454000,0.524000,0.524000,0.524000,0.148999,0.160130,0.300174,1.067745,calls/second,seconds
1513153298,120,0.691000,0.093270,0.000000,0.185272,0.005000,0.055000,0.542000,0.545000,0.545000,0.691000,0.149017,0.158780,0.299927,1.067693,calls/second,seconds
1513154198,120,0.565000,0.089780,0.000000,0.173420,0.005000,0.055000,0.535000,0.539000,0.539000,0.539000,0.148984,0.160804,0.300258,1.067757,calls/second,seconds
1513155098,120,0.582000,0.091482,0.000000,0.178642,0.005000,0.056000,0.511000,0.582000,0.582000,0.582000,0.149022,0.159791,0.300065,1.067714,calls/second,seconds
1513155998,120,0.607000,0.096339,0.000000,0.188843,0.006000,0.057000,0.525000,0.572000,0.572000,0.579000,0.149015,0.160753,0.300162,1.067733,calls/second,seconds
1513156881,120,0.638000,0.087923,0.000000,0.173003,0.005000,0.054000,0.507000,0.537000,0.537000,0.537000,0.148993,0.160804,0.300251,1.067754,calls/second,seconds
1513157781,120,0.583000,0.088296,0.000000,0.173205,0.004000,0.055000,0.482000,0.520000,0.520000,0.560000,0.149011,0.158681,0.299856,1.067692,calls/second,seconds
1513158681,120,0.587000,0.092719,0.000000,0.181294,0.005000,0.057000,0.548000,0.587000,0.587000,0.587000,0.149018,0.160128,0.300107,1.067719,calls/second,seconds
1513159581,120,0.619000,0.099912,0.000000,0.196860,0.005000,0.055000,0.547000,0.584000,0.584000,0.619000,0.149004,0.160467,0.300216,1.067751,calls/second,seconds
1513160481,120,0.557000,0.083290,0.000000,0.163528,0.004000,0.036000,0.435000,0.517000,0.517000,0.525000,0.148997,0.160467,0.300216,1.067751,calls/second,seconds
1513161381,120,0.593000,0.091321,0.000000,0.178210,0.005000,0.054000,0.476000,0.593000,0.593000,0.593000,0.149009,0.160125,0.300057,1.067704,calls/second,seconds
