t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1517529258,1,14.191000,14.191000,14.191000,0.000000,14.191000,14.191000,14.191000,14.191000,14.191000,14.191000,0.013113,0.062281,0.158378,0.185034,calls/second,seconds
1517530158,3,27.066000,27.062901,10.312000,0.214475,27.066000,27.066000,27.066000,27.066000,27.066000,27.066000,0.003771,0.000733,0.030520,0.167184,calls/second,seconds
1517534658,2,20.952000,18.689000,16.426000,2.263000,20.952000,20.952000,20.952000,20.952000,20.952000,20.952000,0.002533,0.000001,0.029709,0.168140,calls/second,seconds
1517544558,1,14.760000,14.760000,14.760000,0.000000,14.760000,14.760000,14.760000,14.760000,14.760000,14.760000,0.001353,0.000001,0.017549,0.088873,calls/second,seconds
1517545458,1,13.051000,13.051000,13.051000,0.000000,13.051000,13.051000,13.051000,13.051000,13.051000,13.051000,0.002238,0.000131,0.046139,0.122661,calls/second,seconds
1517583258,6,19.748000,16.966721,10.255000,0.602515,17.019000,17.019000,17.019000,17.019000,17.019000,19.748000,0.007627,0.005468,0.020543,0.087799,calls/second,seconds
1517585958,1,15.752000,15.752000,15.752000,0.000000,15.752000,15.752000,15.752000,15.752000,15.752000,15.752000,0.001602,0.000007,0.025747,0.100986,calls/second,seconds
1517597658,4,28.925000,15.700765,14.574000,0.917612,15.630000,15.630000,15.630000,15.630000,15.630000,28.925000,0.009275,0.005916,0.148174,0.375200,calls/second,seconds
1517598558,2,20.288000,18.023000,15.758000,2.265000,20.288000,20.288000,20.288000,20.288000,20.288000,20.288000,0.004649,0.000336,0.097008,0.249446,calls/second,seconds
1517599458,2,24.315000,22.065500,19.816000,2.249500,24.315000,24.315000,24.315000,24.315000,24.315000,24.315000,0.003300,0.000018,0.054134,0.205367,calls/second,seconds
1517604858,2,17.029000,16.164479,15.338000,0.845286,15.338000,17.029000,17.029000,17.029000,17.029000,17.029000,0.002506,0.000001,0.028735,0.166282,calls/second,seconds
1517605758,3,21.070000,16.279898,11.685000,4.658534,13.005000,21.070000,21.070000,21.070000,21.070000,21.070000,0.006711,0.000587,0.048964,0.124331,calls/second,seconds
1517606658,5,27.414000,19.531605,12.814000,5.905483,18.065000,27.414000,27.414000,27.414000,27.414000,27.414000,0.008095,0.015813,0.034561,0.105201,calls/second,seconds
1517607558,1,15.985000,15.985000,15.985000,0.000000,15.985000,15.985000,15.985000,15.985000,15.985000,15.985000,0.011903,0.057301,0.155760,0.184009,calls/second,seconds
1517608458,10,20.141000,16.232182,10.128000,2.240888,15.604000,18.522000,18.522000,18.522000,18.522000,20.141000,0.012550,0.010484,0.039313,0.172518,calls/second,seconds
1517609358,9,26.381000,16.155589,12.123000,5.247952,12.969000,17.005000,26.381000,26.381000,26.381000,26.381000,0.011247,0.025206,0.040453,0.171223,calls/second,seconds
1517617458,1,11.775000,11.775000,11.775000,0.000000,11.775000,11.775000,11.775000,11.775000,11.775000,11.775000,0.001780,0.000019,0.031447,0.107948,calls/second,seconds
1518731658,1,15.083000,15.083000,15.083000,0.000000,15.083000,15.083000,15.083000,15.083000,15.083000,15.083000,0.001791,0.000021,0.031976,0.108549,calls/second,seconds
1518737958,1,12.452000,12.452000,12.452000,0.000000,12.452000,12.452000,12.452000,12.452000,12.452000,12.452000,0.047290,0.155760,0.190246,0.196694,calls/second,seconds
1518790158,2,20.343000,10.117606,10.114000,0.192026,10.114000,10.114000,10.114000,10.114000,10.114000,10.114000,0.002727,0.000572,0.019541,0.090255,calls/second,seconds
1518794658,2,19.913000,19.912919,15.706000,0.018439,19.913000,19.913000,19.913000,19.913000,19.913000,19.913000,0.002710,0.013537,0.020746,0.089969,calls/second,seconds
1518797358,1,15.877000,15.877000,15.877000,0.000000,15.877000,15.877000,15.877000,15.877000,15.877000,15.877000,0.001327,0.000001,0.016693,0.087404,calls/second,seconds
1518800058,1,13.460000,13.460000,13.460000,0.000000,13.460000,13.460000,13.460000,13.460000,13.460000,13.460000,0.043621,0.155760,0.190246,0.196694,calls/second,seconds
1518801858,1,19.414000,19.414000,19.414000,0.000000,19.414000,19.414000,19.414000,19.414000,19.414000,19.414000,0.001362,0.000001,0.017844,0.089368,calls/second,seconds
1518815358,2,29.553000,28.863556,16.396000,2.931839,29.553000,29.553000,29.553000,29.553000,29.553000,29.553000,0.002646,0.000002,0.016928,0.087514,calls/second,seconds
1518816258,1,18.268000,18.268000,18.268000,0.000000,18.268000,18.268000,18.268000,18.268000,18.268000,18.268000,0.001360,0.000001,0.017549,0.088873,calls/second,seconds
1519233858,1,23.051000,23.051000,23.051000,0.000000,23.051000,23.051000,23.051000,23.051000,23.051000,23.051000,0.005247,0.009161,0.107948,0.162839,calls/second,seconds
1519235658,2,11.932000,10.809346,10.809000,0.019707,10.809000,10.809000,10.809000,10.809000,10.809000,10.809000,0.002695,0.000571,0.018956,0.089268,calls/second,seconds
1519238358,1,12.181000,12.181000,12.181000,0.000000,12.181000,12.181000,12.181000,12.181000,12.181000,12.181000,0.004828,0.007135,0.102683,0.160147,calls/second,seconds
1519242858,1,10.550000,10.550000,10.550000,0.000000,10.550000,10.550000,10.550000,10.550000,10.550000,10.550000,0.004920,0.007755,0.104409,0.161040,calls/second,seconds
1519243758,1,17.192000,17.192000,17.192000,0.000000,17.192000,17.192000,17.192000,17.192000,17.192000,17.192000,0.002656,0.000420,0.058264,0.132583,calls/second,seconds
1519244658,1,18.680000,18.680000,18.680000,0.000000,18.680000,18.680000,18.680000,18.680000,18.680000,18.680000,0.002642,0.000420,0.058264,0.132583,calls/second,seconds
1519252758,1,26.256000,26.256000,26.256000,0.000000,26.256000,26.256000,26.256000,26.256000,26.256000,26.256000,0.001827,0.000025,0.033060,0.109762,calls/second,seconds
1519264458,1,14.111000,14.111000,14.111000,0.000000,14.111000,14.111000,14.111000,14.111000,14.111000,14.111000,0.001787,0.000021,0.031976,0.108549,calls/second,seconds
1519272558,1,10.456000,10.456000,10.456000,0.000000,10.456000,10.456000,10.456000,10.456000,10.456000,10.456000,0.036368,0.143306,0.187101,0.195605,calls/second,seconds
1519292358,1,12.352000,12.352000,12.352000,0.000000,12.352000,12.352000,12.352000,12.352000,12.352000,12.352000,0.001782,0.000019,0.031447,0.107948,calls/second,seconds
1519317558,4,19.020000,12.978783,12.526000,1.641604,12.526000,12.526000,19.020000,19.020000,19.020000,19.020000,0.005404,0.000558,0.020386,0.090588,calls/second,seconds
1519318458,2,18.889000,15.852964,15.852000,0.054099,15.852000,15.852000,15.852000,15.852000,15.852000,15.852000,0.003577,0.012475,0.035120,0.109639,calls/second,seconds
