t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1516886847,1,13.597000,13.597000,13.597000,0.000000,13.597000,13.597000,13.597000,13.597000,13.597000,13.597000,0.001272,0.000000,0.014855,0.084070,calls/second,seconds
1516887747,2,14.619000,13.831500,13.044000,0.787500,14.619000,14.619000,14.619000,14.619000,14.619000,14.619000,0.004867,0.000468,0.103696,0.255051,calls/second,seconds
1516894047,1,22.697000,22.697000,22.697000,0.000000,22.697000,22.697000,22.697000,22.697000,22.697000,22.697000,0.001679,0.000011,0.027984,0.103831,calls/second,seconds
1516894947,4,26.082000,17.288698,11.701000,2.508097,17.311000,17.311000,26.082000,26.082000,26.082000,26.082000,0.017220,0.022321,0.286313,0.468340,calls/second,seconds
1516895847,1,19.218000,19.218000,19.218000,0.000000,19.218000,19.218000,19.218000,19.218000,19.218000,19.218000,0.001277,0.000000,0.015104,0.084538,calls/second,seconds
1516896747,4,23.377000,22.782653,19.157000,0.595615,22.190000,23.377000,23.377000,23.377000,23.377000,23.377000,0.006819,0.016446,0.063652,0.212101,calls/second,seconds
1516897647,6,43.974000,14.828984,13.060000,4.649568,14.685000,14.685000,21.571000,26.456000,43.974000,43.974000,0.007262,0.000040,0.016058,0.083535,calls/second,seconds
1516899447,2,38.067000,37.255000,36.443000,0.812000,38.067000,38.067000,38.067000,38.067000,38.067000,38.067000,0.005160,0.000710,0.112708,0.262235,calls/second,seconds
1516900347,4,15.942000,13.864308,13.022000,0.848008,14.588000,14.588000,14.588000,15.942000,15.942000,15.942000,0.005093,0.000707,0.018741,0.086481,calls/second,seconds
1516901247,4,14.200000,11.661190,10.739000,0.713543,11.884000,12.400000,12.400000,12.400000,12.400000,12.400000,0.005102,0.020991,0.023501,0.087683,calls/second,seconds
1516902147,3,26.161000,17.053000,11.566000,6.485226,13.432000,26.161000,26.161000,26.161000,26.161000,26.161000,0.007194,0.000646,0.152973,0.380457,calls/second,seconds
1516903047,2,32.482000,31.796500,31.111000,0.685500,32.482000,32.482000,32.482000,32.482000,32.482000,32.482000,0.002656,0.000002,0.033386,0.174808,calls/second,seconds
1516903947,1,11.724000,11.724000,11.724000,0.000000,11.724000,11.724000,11.724000,11.724000,11.724000,11.724000,0.001649,0.000009,0.027067,0.102683,calls/second,seconds
1516939947,3,31.793000,11.707956,11.468000,2.158187,11.468000,11.468000,11.468000,11.468000,30.395000,31.793000,0.007619,0.007603,0.113643,0.261831,calls/second,seconds
1516940847,2,21.186000,20.909099,10.775000,1.675155,21.186000,21.186000,21.186000,21.186000,21.186000,21.186000,0.004193,0.000398,0.043258,0.119494,calls/second,seconds
1516954347,1,19.001000,19.001000,19.001000,0.000000,19.001000,19.001000,19.001000,19.001000,19.001000,19.001000,0.001283,0.000001,0.015358,0.085009,calls/second,seconds
1516975947,4,27.043000,26.266982,15.398000,0.971579,25.570000,27.043000,27.043000,27.043000,27.043000,27.043000,0.006782,0.000991,0.061149,0.211737,calls/second,seconds
1516977747,1,18.646000,18.646000,18.646000,0.000000,18.646000,18.646000,18.646000,18.646000,18.646000,18.646000,0.002383,0.000215,0.050991,0.126819,calls/second,seconds
1516978647,4,25.234000,20.468141,10.578000,0.927011,20.530000,20.530000,20.530000,20.530000,20.530000,25.234000,0.006739,0.000381,0.086900,0.314086,calls/second,seconds
1516980447,1,15.667000,15.667000,15.667000,0.000000,15.667000,15.667000,15.667000,15.667000,15.667000,15.667000,0.015996,0.079970,0.166498,0.188144,calls/second,seconds
1516995747,4,27.075000,26.679818,17.162000,0.326072,26.690000,26.690000,26.690000,26.690000,26.690000,27.075000,0.005215,0.000165,0.033477,0.173282,calls/second,seconds
1516999347,1,17.827000,17.827000,17.827000,0.000000,17.827000,17.827000,17.827000,17.827000,17.827000,17.827000,0.016548,0.079970,0.166498,0.188144,calls/second,seconds
1517217147,3,18.394000,11.684252,11.674000,0.249721,11.674000,11.674000,11.674000,11.674000,11.674000,16.972000,0.003910,0.000129,0.033015,0.172721,calls/second,seconds
1517236047,1,15.870000,15.870000,15.870000,0.000000,15.870000,15.870000,15.870000,15.870000,15.870000,15.870000,0.001534,0.000004,0.023297,0.097675,calls/second,seconds
1517246847,2,25.530000,24.825000,24.120000,0.705000,25.530000,25.530000,25.530000,25.530000,25.530000,25.530000,0.002631,0.000001,0.032291,0.172876,calls/second,seconds
1517261247,1,11.723000,11.723000,11.723000,0.000000,11.723000,11.723000,11.723000,11.723000,11.723000,11.723000,0.002100,0.000079,0.041748,0.118640,calls/second,seconds
