t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1516877847,211,3.099000,0.112984,0.000000,0.230343,0.006000,0.055000,0.651000,0.757000,0.757000,0.757000,0.314301,0.115999,1.493633,6.024960,calls/second,seconds
1516878747,120,0.759000,0.113546,0.000000,0.226353,0.007000,0.055000,0.654000,0.726000,0.726000,0.727000,0.141639,0.116888,0.200660,0.554253,calls/second,seconds
1516879647,120,0.686000,0.105861,0.000000,0.214019,0.006000,0.039000,0.595000,0.609000,0.609000,0.661000,0.141653,0.116542,0.200605,0.554251,calls/second,seconds
1516880547,120,0.703000,0.104385,0.000000,0.209080,0.007000,0.052000,0.615000,0.658000,0.675000,0.675000,0.141671,0.116522,0.200499,0.554221,calls/second,seconds
1516881447,120,0.833000,0.118051,0.000000,0.236543,0.005000,0.053000,0.672000,0.672000,0.672000,0.689000,0.141687,0.115796,0.200272,0.554181,calls/second,seconds
1516882347,120,0.719000,0.114899,0.000000,0.231101,0.005000,0.053000,0.612000,0.719000,0.719000,0.719000,0.141661,0.115796,0.200254,0.554173,calls/second,seconds
1516883247,120,0.693000,0.103897,0.000000,0.207174,0.005000,0.054000,0.585000,0.612000,0.612000,0.657000,0.141592,0.116888,0.200697,0.554271,calls/second,seconds
1516884147,120,4.872000,0.463294,0.000000,1.258407,0.005000,0.039000,3.463000,4.872000,4.872000,4.872000,0.141788,0.121930,0.200800,0.554242,calls/second,seconds
1516885047,120,5.885000,0.090617,0.000000,0.185877,0.005000,0.028000,0.529000,0.529000,0.529000,0.569000,0.142539,0.115796,0.201480,0.556802,calls/second,seconds
1516885947,120,2.945000,0.094124,0.000000,0.201043,0.004000,0.028000,0.614000,0.614000,0.614000,1.204000,0.141624,0.116896,0.200779,0.554294,calls/second,seconds
1516886847,120,13.597000,0.786278,0.000000,2.213276,0.004000,0.024000,8.067000,8.067000,8.067000,8.067000,0.141440,0.122933,0.201385,0.554401,calls/second,seconds
1516887747,120,14.619000,0.396982,0.000000,1.116697,0.005000,0.024000,3.006000,4.138000,4.138000,4.138000,0.141650,0.121982,0.201412,0.554430,calls/second,seconds
1516888647,120,0.762000,0.092646,0.000000,0.188852,0.005000,0.036000,0.557000,0.557000,0.557000,0.609000,0.141628,0.116368,0.200565,0.554247,calls/second,seconds
1516889547,120,0.587000,0.098881,0.000000,0.201623,0.004000,0.032000,0.579000,0.580000,0.580000,0.580000,0.141623,0.116888,0.200686,0.554267,calls/second,seconds
1516890447,120,0.661000,0.097716,0.000000,0.200698,0.004000,0.029000,0.587000,0.587000,0.587000,0.591000,0.141651,0.115796,0.200254,0.554173,calls/second,seconds
1516891347,120,0.715000,0.095747,0.000000,0.196694,0.004000,0.028000,0.565000,0.645000,0.645000,0.645000,0.141659,0.115796,0.200254,0.554173,calls/second,seconds
1516892247,120,0.628000,0.090400,0.000000,0.185794,0.004000,0.030000,0.564000,0.578000,0.578000,0.628000,0.141623,0.116886,0.200616,0.554238,calls/second,seconds
1516893147,120,0.838000,0.095438,0.000000,0.203849,0.005000,0.030000,0.621000,0.621000,0.838000,0.838000,0.141638,0.116888,0.200660,0.554253,calls/second,seconds
1516894047,120,22.697000,0.095294,0.000000,0.221801,0.004000,0.031000,0.577000,0.583000,0.583000,0.583000,0.141626,0.116880,0.201002,0.554409,calls/second,seconds
1516894947,120,26.082000,1.498481,0.000000,4.519475,0.004000,0.030000,17.311000,17.311000,17.311000,26.082000,0.141626,0.137733,0.204227,0.554836,calls/second,seconds
1516895847,120,19.218000,0.241988,0.000000,0.677434,0.005000,0.040000,2.662000,2.662000,2.913000,2.913000,0.140917,0.109766,0.198095,0.551418,calls/second,seconds
1516896747,120,23.377000,2.561919,0.000000,7.106906,0.005000,0.026000,23.377000,23.377000,23.377000,23.377000,0.141910,0.143578,0.202516,0.554500,calls/second,seconds
