t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515080661,217,1.780000,0.101951,0.000000,0.199307,0.006000,0.059000,0.549000,0.677000,0.677000,0.677000,0.296484,0.176023,1.731210,8.045699,calls/second,seconds
1515081561,120,0.588000,0.096079,0.000000,0.189681,0.006000,0.058000,0.524000,0.570000,0.570000,0.588000,0.150450,0.180887,0.225173,0.583529,calls/second,seconds
1515082461,120,2.411000,0.168103,0.000000,0.392050,0.006000,0.058000,1.475000,1.488000,1.488000,2.411000,0.150411,0.181404,0.225389,0.583577,calls/second,seconds
1515083361,120,5.282000,0.181641,0.000000,0.501206,0.006000,0.057000,1.331000,1.331000,1.331000,5.282000,0.150300,0.188224,0.225919,0.583655,calls/second,seconds
1515084261,120,45.668000,0.103851,0.000000,0.417112,0.006000,0.059000,0.544000,0.544000,0.563000,0.772000,0.151030,0.188315,0.315511,1.086012,calls/second,seconds
1515085161,120,1.172000,0.086654,0.000000,0.170887,0.005000,0.058000,0.525000,0.546000,0.546000,0.562000,0.150568,0.178893,0.224905,0.583485,calls/second,seconds
1515086061,120,0.814000,0.091039,0.000000,0.184206,0.005000,0.059000,0.542000,0.642000,0.642000,0.814000,0.150434,0.180610,0.225341,0.583577,calls/second,seconds
1515086961,120,1.123000,0.094029,0.000000,0.180139,0.005000,0.058000,0.478000,0.546000,0.546000,0.552000,0.150542,0.178893,0.224905,0.583485,calls/second,seconds
1515087861,120,0.650000,0.101591,0.000000,0.197266,0.005000,0.057000,0.564000,0.572000,0.572000,0.619000,0.150490,0.181366,0.225367,0.583575,calls/second,seconds
1515088761,120,1.606000,0.098809,0.000000,0.191458,0.006000,0.058000,0.556000,0.558000,0.558000,0.558000,0.150691,0.175922,0.224339,0.583365,calls/second,seconds
1515089661,120,0.603000,0.097124,0.000000,0.188304,0.006000,0.057000,0.562000,0.562000,0.562000,0.562000,0.150480,0.180606,0.225289,0.583562,calls/second,seconds
1515090561,120,0.648000,0.095120,0.000000,0.181869,0.005000,0.061000,0.531000,0.533000,0.533000,0.533000,0.150478,0.181347,0.225357,0.583575,calls/second,seconds
1515091461,120,0.564000,0.095737,0.000000,0.182921,0.006000,0.060000,0.525000,0.554000,0.554000,0.564000,0.150482,0.181405,0.225402,0.583581,calls/second,seconds
1515092361,120,0.789000,0.096483,0.000000,0.187465,0.006000,0.057000,0.517000,0.584000,0.584000,0.584000,0.150477,0.180571,0.225279,0.583562,calls/second,seconds
1515093261,120,0.662000,0.092284,0.000000,0.178192,0.006000,0.056000,0.496000,0.567000,0.567000,0.568000,0.150509,0.179016,0.225142,0.583547,calls/second,seconds
1515094161,626,0.611000,0.032277,0.000000,0.107273,0.001000,0.007000,0.118000,0.520000,0.576000,0.611000,0.784595,0.590727,1.125566,1.039229,calls/second,seconds
1515095061,120,0.556000,0.094784,0.000000,0.183785,0.006000,0.057000,0.543000,0.556000,0.556000,0.556000,0.150445,0.181407,0.225428,0.583589,calls/second,seconds
1515095961,120,0.731000,0.096107,0.000000,0.186261,0.006000,0.062000,0.533000,0.533000,0.533000,0.554000,0.150489,0.180610,0.225341,0.583577,calls/second,seconds
1515096861,120,2.534000,0.098051,0.000000,0.212863,0.005000,0.057000,0.482000,0.558000,0.558000,2.534000,0.150488,0.180570,0.225272,0.583559,calls/second,seconds
1515097761,120,0.585000,0.100615,0.000000,0.195218,0.006000,0.058000,0.553000,0.585000,0.585000,0.585000,0.150498,0.180967,0.225297,0.583560,calls/second,seconds
1515098661,120,0.594000,0.100108,0.000000,0.195396,0.005000,0.057000,0.594000,0.594000,0.594000,0.594000,0.150413,0.181406,0.225413,0.583582,calls/second,seconds
1515099561,128,3.316000,0.101710,0.000000,0.238976,0.005000,0.057000,0.539000,0.542000,0.542000,3.316000,0.160449,0.183902,0.237460,0.590406,calls/second,seconds
1515100461,272,1.481000,0.079505,0.000000,0.160033,0.005000,0.049000,0.478000,0.478000,0.478000,0.556000,0.306387,0.178903,0.236686,0.604271,calls/second,seconds
1515101361,120,1.108000,0.105306,0.000000,0.208055,0.006000,0.058000,0.630000,0.630000,0.630000,0.630000,0.150475,0.181407,0.225428,0.583589,calls/second,seconds
1515102261,120,0.597000,0.092556,0.000000,0.177656,0.006000,0.056000,0.533000,0.534000,0.534000,0.548000,0.150465,0.181008,0.225370,0.583577,calls/second,seconds
1515103161,120,0.564000,0.093899,0.000000,0.180426,0.006000,0.057000,0.492000,0.551000,0.551000,0.555000,0.150461,0.181387,0.225390,0.583578,calls/second,seconds
1515104061,120,0.659000,0.090170,0.000000,0.169079,0.006000,0.057000,0.473000,0.473000,0.473000,0.560000,0.150443,0.179812,0.225207,0.583549,calls/second,seconds
1515104961,2759,1.321000,0.018366,0.000000,0.082012,0.000000,0.001000,0.121000,0.166000,0.544000,0.728000,3.456140,3.700514,5.386169,3.036539,calls/second,seconds
1515105861,120,0.585000,0.098582,0.000000,0.192158,0.005000,0.057000,0.576000,0.585000,0.585000,0.585000,0.150491,0.181347,0.225357,0.583575,calls/second,seconds
1515106761,120,0.595000,0.098649,0.000000,0.191064,0.006000,0.057000,0.540000,0.558000,0.558000,0.558000,0.150471,0.180489,0.225173,0.583542,calls/second,seconds
1515107661,120,0.577000,0.094277,0.000000,0.185996,0.005000,0.057000,0.577000,0.577000,0.577000,0.577000,0.150485,0.180209,0.225259,0.583560,calls/second,seconds
1515108561,120,0.600000,0.096337,0.000000,0.186771,0.005000,0.057000,0.564000,0.564000,0.564000,0.564000,0.150475,0.181007,0.225371,0.583579,calls/second,seconds
1515109461,120,0.605000,0.100381,0.000000,0.196076,0.005000,0.056000,0.553000,0.605000,0.605000,0.605000,0.150434,0.181406,0.225385,0.583570,calls/second,seconds
1515110361,120,0.604000,0.091907,0.000000,0.184332,0.005000,0.057000,0.604000,0.604000,0.604000,0.604000,0.150491,0.180171,0.225195,0.583540,calls/second,seconds
1515111261,120,0.555000,0.091448,0.000000,0.174703,0.005000,0.060000,0.473000,0.541000,0.541000,0.555000,0.150478,0.179752,0.225150,0.583541,calls/second,seconds
1515112161,120,0.598000,0.100014,0.000000,0.195017,0.006000,0.056000,0.548000,0.576000,0.576000,0.576000,0.150493,0.178976,0.225052,0.583519,calls/second,seconds
1515113061,120,0.572000,0.094980,0.000000,0.184212,0.006000,0.056000,0.548000,0.572000,0.572000,0.572000,0.150478,0.181365,0.225354,0.583572,calls/second,seconds
1515113961,120,0.585000,0.094230,0.000000,0.181866,0.006000,0.057000,0.537000,0.557000,0.557000,0.564000,0.150490,0.181406,0.225406,0.583579,calls/second,seconds
1515114861,120,0.985000,0.095603,0.000000,0.186405,0.006000,0.057000,0.521000,0.550000,0.550000,0.985000,0.150476,0.180209,0.225245,0.583554,calls/second,seconds
