t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519241958,6610,0.013000,0.000107,0.000000,0.000603,0.000000,0.000000,0.001000,0.001000,0.001000,0.013000,51.416420,27.457541,19.645722,10.688110,calls/second,seconds
1519242858,6648,0.305000,0.000423,0.000000,0.008975,0.000000,0.000000,0.001000,0.001000,0.001000,0.027000,40.645537,50.624658,21.720080,11.023298,calls/second,seconds
1519243758,29,0.001000,0.000108,0.000000,0.000310,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.032238,0.000001,0.016566,0.087018,calls/second,seconds
1519373358,24,0.001000,0.000165,0.000000,0.000371,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.114288,0.171235,2.464402,3.843540,calls/second,seconds
1519380373,32,0.001000,0.000197,0.000000,0.000398,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.630903,1.108887,1.455158,1.548412,calls/second,seconds
1519381976,376,0.006000,0.000184,0.000000,0.000388,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.458604,0.509153,1.128590,4.788142,calls/second,seconds
1519382876,328,0.001000,0.000138,0.000000,0.000345,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.372580,0.500130,0.470369,0.841583,calls/second,seconds
1519383776,328,0.001000,0.000082,0.000000,0.000274,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.372661,0.550040,0.487759,0.844477,calls/second,seconds
1519384676,320,0.001000,0.000115,0.000000,0.000319,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.363639,0.540754,0.460012,0.837542,calls/second,seconds
1519385576,328,0.004000,0.000085,0.000000,0.000288,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.372790,0.540741,0.460280,0.840334,calls/second,seconds
1519386476,328,0.001000,0.000165,0.000000,0.000371,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.372846,0.535011,0.462666,0.841839,calls/second,seconds
1519387376,328,0.002000,0.000135,0.000000,0.000342,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.372913,0.535145,0.467991,0.843788,calls/second,seconds
1519388276,336,0.001000,0.000151,0.000000,0.000358,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.382049,0.537849,0.480878,0.850546,calls/second,seconds
1519389176,328,0.001000,0.000201,0.000000,0.000401,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.373036,0.592094,0.495372,0.849076,calls/second,seconds
1519390076,312,0.002000,0.000138,0.000000,0.000345,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.354890,0.535004,0.456186,0.833033,calls/second,seconds
1519390976,328,0.001000,0.000054,0.000000,0.000225,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.373166,0.535004,0.459740,0.840240,calls/second,seconds
1519391876,336,0.001000,0.000130,0.000000,0.000336,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.382309,0.535014,0.465848,0.846214,calls/second,seconds
1519392776,328,0.001000,0.000165,0.000000,0.000371,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.373285,0.547553,0.468761,0.843872,calls/second,seconds
1519393676,328,0.001000,0.000095,0.000000,0.000293,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.373292,0.537846,0.477693,0.846169,calls/second,seconds
1519394576,328,0.004000,0.000125,0.000000,0.000478,0.000000,0.000000,0.001000,0.001000,0.001000,0.004000,0.373299,0.592094,0.495372,0.849076,calls/second,seconds
1519395476,320,0.001000,0.000101,0.000000,0.000302,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.364207,0.535007,0.459342,0.837394,calls/second,seconds
1519396376,328,0.003000,0.000140,0.000000,0.000348,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.373319,0.535004,0.459770,0.840260,calls/second,seconds
1519397276,328,0.001000,0.000068,0.000000,0.000252,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.373320,0.535012,0.462764,0.841880,calls/second,seconds
1519398176,328,0.001000,0.000109,0.000000,0.000312,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.371954,0.497022,0.460747,0.839208,calls/second,seconds
1519399076,336,0.001000,0.000123,0.000000,0.000328,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.376520,0.419070,0.457715,0.836532,calls/second,seconds
1519399976,328,0.001000,0.000099,0.000000,0.000299,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.373412,0.572097,0.491937,0.848286,calls/second,seconds
1519400876,248,0.023000,0.000130,0.000000,0.000430,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.282290,0.028103,0.276629,0.765993,calls/second,seconds
1519662441,40,0.003000,0.000378,0.000000,0.000788,0.000000,0.000000,0.002000,0.003000,0.003000,0.003000,0.045180,0.000002,0.176130,1.214804,calls/second,seconds
