t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,33369,0.008000,0.000090,0.000000,0.000425,0.000000,0.000000,0.001000,0.001000,0.001000,0.008000,49.658836,52.717598,51.097371,30.520781,calls/second,seconds
1519238358,39443,0.008000,0.000126,0.000000,0.000511,0.000000,0.000000,0.001000,0.001000,0.001000,0.008000,44.719765,46.627882,47.419598,29.309348,calls/second,seconds
1519239258,39451,0.009000,0.000065,0.000000,0.000381,0.000000,0.000000,0.001000,0.001000,0.001000,0.009000,45.019729,50.415476,48.167150,29.465543,calls/second,seconds
1519240158,39435,0.003000,0.000086,0.000000,0.000307,0.000000,0.000000,0.001000,0.001000,0.001000,0.003000,45.003745,50.347784,48.142025,29.452379,calls/second,seconds
1519241058,19752,0.002000,0.000084,0.000000,0.000291,0.000000,0.000000,0.001000,0.001000,0.001000,0.002000,22.538263,13.930453,21.803206,14.353546,calls/second,seconds
1519241958,19742,0.006000,0.000101,0.000000,0.000354,0.000000,0.000000,0.001000,0.001000,0.001000,0.003000,22.529088,13.952672,21.791696,14.273736,calls/second,seconds
1519242858,19742,0.034000,0.000141,0.000000,0.001209,0.000000,0.000000,0.001000,0.001000,0.001000,0.013000,22.528977,13.910601,21.778419,14.270512,calls/second,seconds
1519243758,19742,0.009000,0.000100,0.000000,0.000448,0.000000,0.000000,0.001000,0.001000,0.001000,0.006000,22.531873,13.870198,21.771128,14.269555,calls/second,seconds
1519244658,19744,0.011000,0.000129,0.000000,0.000572,0.000000,0.000000,0.001000,0.001000,0.002000,0.010000,22.445096,13.882379,21.775226,14.271315,calls/second,seconds
1519245558,6570,0.009000,0.000126,0.000000,0.000619,0.000000,0.000000,0.001000,0.001000,0.001000,0.009000,7.500105,0.000619,1.964147,3.337181,calls/second,seconds
