t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,1994,0.020000,0.000003,0.000000,0.000203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.240939,0.138903,1.088839,1.541205,calls/second,seconds
1513099854,34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046519,0.000038,0.606686,3.038509,calls/second,seconds
1513110998,40,0.056000,0.002743,0.000000,0.010615,0.000000,0.000000,0.021000,0.056000,0.056000,0.056000,0.045517,0.000002,0.224319,1.530256,calls/second,seconds
1513248006,40,0.187000,0.007444,0.000000,0.034244,0.000000,0.000000,0.026000,0.187000,0.187000,0.187000,0.045406,0.000002,0.220682,1.521827,calls/second,seconds
1513267498,40,0.033000,0.001962,0.000000,0.006983,0.000000,0.000000,0.014000,0.033000,0.033000,0.033000,0.044979,0.000002,0.217707,1.513848,calls/second,seconds
1513703373,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050778,0.000350,0.853644,3.132275,calls/second,seconds
1515080661,40,0.322000,0.015188,0.000000,0.061581,0.000000,0.000000,0.117000,0.322000,0.322000,0.322000,0.045291,0.000002,0.220682,1.521827,calls/second,seconds
1515094161,30,0.001000,0.000100,0.000000,0.000300,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.148621,0.232645,3.132275,4.831190,calls/second,seconds
1515769897,40,0.063000,0.003055,0.000000,0.011962,0.000000,0.000000,0.018000,0.063000,0.063000,0.063000,0.045621,0.000002,0.224463,1.530355,calls/second,seconds
1515781585,40,0.047000,0.002786,0.000000,0.009972,0.000000,0.000000,0.024000,0.047000,0.047000,0.047000,0.045293,0.000002,0.221049,1.522077,calls/second,seconds
1515782918,40,0.045000,0.002712,0.000000,0.009510,0.000000,0.000000,0.025000,0.045000,0.045000,0.045000,0.045408,0.000002,0.220898,1.521976,calls/second,seconds
1516041169,40,0.029000,0.001498,0.000000,0.005712,0.000000,0.000000,0.015000,0.029000,0.029000,0.029000,0.045020,0.000002,0.216898,1.513299,calls/second,seconds
1516877847,40,0.155000,0.006975,0.000000,0.029188,0.000000,0.000000,0.039000,0.155000,0.155000,0.155000,0.045367,0.000002,0.220753,1.521877,calls/second,seconds
1516971447,30,0.001000,0.000066,0.000000,0.000248,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.057657,0.001123,1.077984,3.385621,calls/second,seconds
1517522958,40,0.080000,0.003646,0.000000,0.015000,0.000000,0.000000,0.028000,0.080000,0.080000,0.080000,0.045024,0.000002,0.216901,1.513301,calls/second,seconds
1518701058,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049145,0.000251,0.798590,3.063436,calls/second,seconds
1519234758,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010095,0.001203,0.218025,0.518675,calls/second,seconds
1519254558,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005933,0.000012,0.087177,0.382115,calls/second,seconds
1519374973,40,0.028000,0.001650,0.000000,0.005868,0.000000,0.000000,0.017000,0.028000,0.028000,0.028000,0.045098,0.000002,0.206575,1.438591,calls/second,seconds
1519381976,70,0.033000,0.000196,0.000000,0.001893,0.000000,0.000000,0.001000,0.001000,0.001000,0.033000,0.078681,0.000008,0.227418,1.529049,calls/second,seconds
1519661541,70,0.018000,0.000064,0.000000,0.000713,0.000000,0.000000,0.000000,0.001000,0.001000,0.018000,0.078633,0.000030,0.227735,1.522499,calls/second,seconds
1519664145,70,0.042000,0.000162,0.000000,0.001510,0.000000,0.000000,0.001000,0.001000,0.001000,0.027000,0.079687,0.000038,0.239263,1.547987,calls/second,seconds
