t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513110998,1,12.353000,12.353000,12.353000,0.000000,12.353000,12.353000,12.353000,12.353000,12.353000,12.353000,0.001178,0.000000,0.012162,0.078648,calls/second,seconds
1513633798,1,10.733000,10.733000,10.733000,0.000000,10.733000,10.733000,10.733000,10.733000,10.733000,10.733000,0.057334,0.169296,0.193443,0.197790,calls/second,seconds
1515769897,1,14.301000,14.301000,14.301000,0.000000,14.301000,14.301000,14.301000,14.301000,14.301000,14.301000,0.001184,0.000000,0.012366,0.079086,calls/second,seconds
1515781585,1,11.106000,11.106000,11.106000,0.000000,11.106000,11.106000,11.106000,11.106000,11.106000,11.106000,0.001211,0.000000,0.013000,0.080415,calls/second,seconds
1515782918,1,30.141000,30.141000,30.141000,0.000000,30.141000,30.141000,30.141000,30.141000,30.141000,30.141000,0.001200,0.000000,0.012786,0.079970,calls/second,seconds
1516618969,1,14.742000,14.742000,14.742000,0.000000,14.742000,14.742000,14.742000,14.742000,14.742000,14.742000,0.001335,0.000001,0.016973,0.087891,calls/second,seconds
1516877847,1,13.295000,13.295000,13.295000,0.000000,13.295000,13.295000,13.295000,13.295000,13.295000,13.295000,0.001175,0.000000,0.011961,0.078212,calls/second,seconds
1516894047,1,17.358000,17.358000,17.358000,0.000000,17.358000,17.358000,17.358000,17.358000,17.358000,17.358000,0.001675,0.000011,0.027984,0.103831,calls/second,seconds
1516903047,1,12.136000,12.136000,12.136000,0.000000,12.136000,12.136000,12.136000,12.136000,12.136000,12.136000,0.001326,0.000001,0.016693,0.087404,calls/second,seconds
1516940847,1,10.304000,10.304000,10.304000,0.000000,10.304000,10.304000,10.304000,10.304000,10.304000,10.304000,0.002058,0.000067,0.040379,0.117329,calls/second,seconds
1516973247,1,10.421000,10.421000,10.421000,0.000000,10.421000,10.421000,10.421000,10.421000,10.421000,10.421000,0.003647,0.002415,0.082681,0.148989,calls/second,seconds
1516995747,1,18.760000,18.760000,18.760000,0.000000,18.760000,18.760000,18.760000,18.760000,18.760000,18.760000,0.003551,0.002044,0.079970,0.147343,calls/second,seconds
