t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,626,14.583000,0.063965,0.000000,0.556403,0.000000,0.002000,0.236000,0.471000,0.744000,13.512000,1.769695,0.127672,3.658739,6.738918,calls/second,seconds
1515115761,521,1.035000,0.028316,0.000000,0.095043,0.000000,0.001000,0.145000,0.329000,0.487000,1.035000,3.964851,2.726721,7.716333,9.171383,calls/second,seconds
1515116661,965,2.362000,0.030693,0.000000,0.138222,0.000000,0.001000,0.155000,0.320000,0.544000,2.362000,3.800830,1.079067,22.087180,36.732828,calls/second,seconds
1515122961,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001513,0.000004,0.022533,0.096596,calls/second,seconds
1515158061,521,1.137000,0.033716,0.000000,0.106060,0.000000,0.001000,0.193000,0.359000,0.426000,1.137000,1.257462,0.025641,3.034376,6.719253,calls/second,seconds
1515158961,975,2.123000,0.027237,0.000000,0.114937,0.000000,0.001000,0.145000,0.309000,0.444000,2.123000,1.738034,0.006018,7.676445,25.390467,calls/second,seconds
1515159861,1490,2.489000,0.030017,0.000000,0.132135,0.000000,0.001000,0.154000,0.324000,0.528000,2.489000,2.891894,0.300985,3.587341,6.803460,calls/second,seconds
1515169761,1481,2.143000,0.026750,0.000000,0.117728,0.000000,0.001000,0.134000,0.334000,0.427000,2.143000,1.685795,0.000874,1.089801,4.560452,calls/second,seconds
1515170661,1386,0.254000,0.011419,0.000000,0.037324,0.000000,0.001000,0.077000,0.175000,0.187000,0.254000,2.480095,1.890480,3.080712,3.580570,calls/second,seconds
1515194061,521,1.040000,0.033918,0.000000,0.102004,0.000000,0.001000,0.156000,0.361000,0.368000,1.040000,0.855799,0.000951,1.580270,5.408801,calls/second,seconds
1515194961,643,1.022000,0.029106,0.000000,0.087929,0.000000,0.001000,0.149000,0.220000,0.332000,1.022000,2.268736,1.433987,8.963410,14.820586,calls/second,seconds
1515195861,937,2.191000,0.027389,0.000000,0.120562,0.000000,0.001000,0.139000,0.331000,0.497000,2.191000,1.168380,0.000105,3.259933,18.361108,calls/second,seconds
