t,value
1513089954,369
1513090854,367
1513091754,367
1513092654,367
1513093554,367
1513094454,367
1513095354,367
1513096254,367
1513097154,367
1513098054,367
1513098954,367
1513099854,367
1513100754,367
1513101654,367
1513102554,367
1513103454,367
1513104354,367
1513105254,367
1513110998,363
1513111898,361
1513112798,361
1513113698,361
1513114598,361
1513115498,361
1513116398,361
1513117298,361
1513118198,361
1513119098,361
1513119998,361
1513120898,361
1513121798,361
1513122698,361
1513123598,361
1513124498,361
1513125398,361
1513126298,361
1513127198,361
1513128098,361
1513128998,361
1513129898,361
1513130798,361
1513131698,361
1513132598,361
1513133498,361
1513134398,361
1513135298,361
1513136198,361
1513137098,361
1513137998,361
1513138898,361
1513139798,361
1513140698,361
1513141598,361
1513142498,361
1513143398,361
1513144298,361
1513145198,361
1513146098,361
1513146998,361
1513147898,361
1513148798,361
1513149698,361
1513150598,361
1513151498,361
1513152398,361
1513153298,361
1513154198,361
1513155098,361
1513155998,361
1513156881,360
1513157781,360
1513158681,360
1513159581,360
1513160481,360
1513161381,360
1513162281,360
1513163181,360
1513164081,360
1513164981,360
1513165881,360
1513166781,360
1513167681,360
1513168581,360
1513169481,360
1513170381,360
1513171281,360
1513172181,360
1513173081,360
1513173981,360
1513174881,360
1513175781,360
1513176681,360
1513177581,360
1513178481,360
1513179381,360
1513180281,360
1513181181,360
1513182081,360
1513182981,360
1513183881,360
1513184781,360
1513185681,360
1513186581,360
1513187481,360
1513188381,360
1513189281,360
1513190181,360
1513191081,360
1513191981,360
1513192881,360
1513193781,360
1513194681,360
1513248006,363
1513248906,361
1513249806,361
1513250706,361
1513251606,361
1513252504,360
1513253404,360
1513254304,360
1513255204,360
1513256104,360
1513257004,360
1513257904,360
1513258804,360
1513259704,360
1513260604,360
1513261504,360
1513262404,360
1513263304,360
1513264206,360
1513265106,360
1513266006,361
1513267498,364
1513268398,361
1513269298,361
1513270198,361
1513271098,361
1513271998,361
1513272898,361
1513273798,361
1513274698,361
1513275598,361
1513276498,361
1513277398,361
1513278298,361
1513279198,361
1513280098,361
1513280998,361
1513281898,361
1513282798,361
1513283698,361
1513284598,361
1513285498,361
1513286398,361
1513287298,361
1513288198,361
1513289098,361
1513289998,361
1513290898,361
1513291798,361
1513292698,361
1513293598,361
1513294498,361
1513295398,361
1513296298,361
1513297198,361
1513298098,361
1513298998,361
1513299898,361
1513300798,361
1513301698,361
1513302598,361
1513303498,361
1513304398,361
1513305298,361
1513306198,361
1513307098,361
1513307998,361
1513308898,361
1513309798,361
1513310698,361
1513311598,361
1513312498,361
1513313398,361
1513314298,361
1513315198,361
1513316098,361
1513316998,361
1513317898,361
1513318798,361
1513319698,361
1513320598,361
1513321498,361
1513322398,361
1513323298,361
1513324198,361
1513325098,361
1513325998,361
1513326898,361
1513327798,361
