t,value
1513089954,96
1513090854,93
1513091754,95
1513092654,97
1513093554,97
1513094454,95
1513095354,93
1513096254,94
1513097154,94
1513098054,96
1513098954,97
1513099854,97
1513100754,93
1513101654,94
1513102554,93
1513103454,93
1513104354,94
1513105254,91
1513110998,95
1513111898,91
1513112798,92
1513113698,91
1513114598,93
1513115498,92
1513116398,91
1513117298,91
1513118198,93
1513119098,93
1513119998,92
1513120898,91
1513121798,92
1513122698,91
1513123598,95
1513124498,94
1513125398,92
1513126298,92
1513127198,91
1513128098,96
1513128998,95
1513129898,93
1513130798,95
1513131698,92
1513132598,91
1513133498,94
1513134398,94
1513135298,91
1513136198,92
1513137098,93
1513137998,92
1513138898,92
1513139798,92
1513140698,91
1513141598,92
1513142498,92
1513143398,92
1513144298,96
1513145198,95
1513146098,92
1513146998,93
1513147898,93
1513148798,92
1513149698,91
1513150598,92
1513151498,93
1513152398,92
1513153298,92
1513154198,94
1513155098,91
1513155998,92
1513156881,90
1513157781,92
1513158681,94
1513159581,94
1513160481,91
1513161381,91
1513162281,94
1513163181,93
1513164081,96
1513164981,91
1513165881,94
1513166781,92
1513167681,91
1513168581,95
1513169481,91
1513170381,92
1513171281,90
1513172181,92
1513173081,93
1513173981,91
1513174881,91
1513175781,90
1513176681,90
1513177581,92
1513178481,91
1513179381,93
1513180281,93
1513181181,93
1513182081,91
1513182981,92
1513183881,91
1513184781,93
1513185681,95
1513186581,89
1513187481,91
1513188381,95
1513189281,92
1513190181,91
1513191081,90
1513191981,92
1513192881,93
1513193781,91
1513194681,91
1513248006,96
1513248906,91
1513249806,92
1513250706,91
1513251606,91
1513252504,91
1513253404,90
1513254304,90
1513255204,93
1513256104,90
1513257004,91
1513257904,90
1513258804,90
1513259704,92
1513260604,93
1513261504,93
1513262404,91
1513263304,93
1513264206,92
1513265106,94
1513266006,91
1513267498,95
1513268398,96
1513269298,93
1513270198,93
1513271098,94
1513271998,94
1513272898,95
1513273798,93
1513274698,93
1513275598,92
1513276498,94
1513277398,93
1513278298,93
1513279198,96
1513280098,95
1513280998,93
1513281898,93
1513282798,92
1513283698,95
1513284598,95
1513285498,93
1513286398,95
1513287298,94
1513288198,92
1513289098,95
1513289998,92
1513290898,93
1513291798,99
1513292698,92
1513293598,96
1513294498,92
1513295398,94
1513296298,95
1513297198,95
1513298098,94
1513298998,92
1513299898,93
1513300798,94
1513301698,94
1513302598,93
1513303498,93
1513304398,94
1513305298,92
1513306198,94
1513307098,94
1513307998,93
1513308898,94
1513309798,92
1513310698,92
1513311598,95
1513312498,94
1513313398,93
1513314298,96
1513315198,95
1513316098,93
1513316998,96
1513317898,92
1513318798,93
1513319698,92
1513320598,93
1513321498,92
1513322398,93
1513323298,94
1513324198,93
1513325098,92
1513325998,93
1513326898,92
1513327798,93
1513328698,95
1513329598,96
1513330498,93
1513331398,93
1513332298,94
1513333198,92
1513334098,94
1513334998,93
1513335898,93
1513336798,95
1513337698,96
1513338598,92
1513339498,95
1513340398,92
1513341298,94
1513342198,98
1513343098,95
1513343998,94
1513344898,93
1513345798,93
1513346698,98
1513347598,93
1513348498,94
1513349398,99
1513350298,92
1513351198,91
1513352098,95
1513352998,92
1513353898,95
1513354798,91
1513355698,93
1513356598,92
1513357498,90
1513358398,91
1513359298,91
1513360198,93
1513361098,92
1513361998,92
1513362898,92
1513363798,92
1513364698,92
1513365598,92
1513366498,95
1513367398,94
1513368298,92
1513369198,91
1513370098,96
1513370998,93
1513371898,93
1513372798,93
1513373698,92
1513374598,91
1513375498,93
1513376398,92
1513377298,91
1513378198,92
1513379098,93
1513379998,91
1513380898,92
1513381798,94
1513382698,92
1513383598,95
1513384498,92
1513385398,94
1513386298,93
1513387198,92
1513388098,95
1513388998,92
1513389898,92
1513390798,91
1513391698,92
1513392598,97
1513393498,92
1513394398,97
1513395298,92
1513396198,92
1513397098,91
1513397998,93
1513398898,93
1513399798,96
1513400698,92
1513401598,98
1513402498,93
1513403398,93
1513404298,96
1513405198,93
1513406098,92
1513406998,93
1513407898,93
1513408798,94
1513409698,92
1513410598,92
1513411498,92
1513412398,95
1513413298,92
1513414198,92
1513415098,94
1513415998,92
1513416898,92
1513417798,95
1513418698,92
1513419598,95
1513420498,92
1513421398,92
1513422298,98
1513423198,92
1513424098,94
1513424998,92
1513425898,92
1513426798,97
1513427698,95
1513428598,93
1513429498,91
1513430398,92
1513431298,96
1513432198,93
1513433098,95
1513433998,92
1513434898,91
1513435798,95
1513436698,92
1513437598,92
1513438498,92
1513439398,93
1513440298,93
1513441198,95
1513442098,94
1513442998,96
1513443898,94
1513444798,95
1513445698,92
1513446598,92
1513447498,93
1513448398,92
1513449298,94
1513450198,93
1513451098,92
1513451998,93
1513452898,92
1513453798,92
1513454698,93
1513455598,91
1513456498,92
1513457398,95
1513458298,94
1513459198,93
1513460098,91
1513460998,93
1513461898,93
1513462798,94
1513463698,92
1513464598,92
1513465498,92
1513466398,91
1513467298,92
1513468198,92
1513469098,95
1513469998,92
1513470898,91
1513471798,92
1513472698,92
1513473598,91
1513474498,95
1513475398,91
1513476298,93
1513477198,92
1513478098,93
1513478998,92
1513479898,91
1513480798,92
1513481698,92
1513482598,95
1513483498,94
1513484398,92
1513485298,93
1513486198,91
1513487098,92
1513487998,93
1513488898,95
1513489798,92
1513490698,92
1513491598,95
1513492498,92
1513493398,96
1513494298,92
1513495198,92
1513496098,92
1513496998,94
1513497898,94
1513498798,92
1513499698,95
1513500598,95
1513501498,91
1513502398,95
1513503298,92
1513504198,92
1513505098,91
1513505998,92
1513506898,94
1513507798,95
1513508698,92
1513509598,95
1513510498,93
1513511398,91
1513512298,91
1513513198,96
1513514098,92
1513514998,92
1513515898,94
1513516798,96
1513517698,92
1513518598,93
1513519498,95
1513520398,91
1513521298,93
1513522198,93
1513523098,92
1513523998,93
1513524898,93
1513525798,92
1513526698,96
1513527598,92
1513528498,92
1513529398,93
1513530298,96
1513531198,91
1513532098,95
1513532998,94
1513533898,92
1513534798,92
1513535698,95
1513536598,97
1513537498,91
1513538398,93
1513539298,91
1513540198,92
1513541098,93
1513541998,93
1513542898,92
1513543798,93
1513544698,92
1513545598,96
1513546498,92
1513547398,93
1513548298,91
1513549198,93
1513550098,91
1513550998,92
1513551898,95
1513552798,94
1513553698,94
1513554598,91
1513555498,92
1513556398,91
1513557298,92
1513558198,94
1513559098,93
1513559998,93
1513560898,93
1513561798,92
1513562698,92
1513563598,94
1513564498,94
1513565398,91
1513566298,91
1513567198,95
1513568098,92
1513568998,93
1513569898,91
1513570798,93
1513571698,92
1513572598,92
1513573498,93
1513574398,93
1513575298,93
1513576198,93
1513577098,93
1513577998,93
1513578898,92
1513579798,93
1513580698,94
1513581598,91
1513582498,94
1513583398,91
1513584298,93
1513585198,93
1513586098,94
1513586998,96
1513587898,95
1513588798,97
1513589698,96
1513590598,96
1513591498,93
1513592398,92
1513593298,94
1513594198,92
1513595098,92
1513595998,96
1513596898,92
1513597798,95
1513598698,93
1513599598,95
1513600498,97
1513601398,93
1513602298,97
1513603198,94
1513604098,92
1513604998,92
1513605898,94
1513606798,93
1513607698,96
1513608598,93
1513609498,95
1513610398,91
1513611298,92
1513612198,93
1513613098,92
1513613998,93
1513614898,92
1513615798,92
1513616698,94
1513617598,95
1513618498,94
1513619398,93
1513620298,94
1513621198,92
1513622098,93
1513622998,96
1513623898,92
1513624798,93
