t,value
1513089954,312
1513090854,312
1513091754,311
1513092654,310
1513093554,310
1513094454,312
1513095354,312
1513096254,312
1513097154,311
1513098054,310
1513098954,310
1513099854,311
1513100754,313
1513101654,313
1513102554,313
1513103454,313
1513104354,313
1513105254,314
1513110998,307
1513111898,307
1513112798,307
1513113698,307
1513114598,306
1513115498,307
1513116398,307
1513117298,307
1513118198,306
1513119098,307
1513119998,307
1513120898,307
1513121798,307
1513122698,307
1513123598,305
1513124498,305
1513125398,307
1513126298,307
1513127198,307
1513128098,305
1513128998,305
1513129898,306
1513130798,306
1513131698,307
1513132598,307
1513133498,305
1513134398,306
1513135298,307
1513136198,307
1513137098,307
1513137998,307
1513138898,307
1513139798,307
1513140698,307
1513141598,307
1513142498,307
1513143398,307
1513144298,305
1513145198,306
1513146098,307
1513146998,306
1513147898,307
1513148798,307
1513149698,307
1513150598,306
1513151498,306
1513152398,307
1513153298,307
1513154198,305
1513155098,307
1513155998,307
1513156881,307
1513157781,306
1513158681,305
1513159581,305
1513160481,307
1513161381,306
1513162281,305
1513163181,305
1513164081,306
1513164981,307
1513165881,305
1513166781,307
1513167681,307
1513168581,305
1513169481,307
1513170381,307
1513171281,307
1513172181,307
1513173081,305
1513173981,307
1513174881,307
1513175781,307
1513176681,307
1513177581,306
1513178481,307
1513179381,306
1513180281,307
1513181181,307
1513182081,307
1513182981,307
1513183881,307
1513184781,305
1513185681,305
1513186581,307
1513187481,307
1513188381,305
1513189281,307
1513190181,307
1513191081,307
1513191981,306
1513192881,306
1513193781,307
1513194681,307
1513248006,305
1513248906,307
1513249806,307
1513250706,307
1513251606,307
1513252504,307
1513253404,307
1513254304,307
1513255204,305
1513256104,307
1513257004,307
1513257904,307
1513258804,307
1513259704,307
1513260604,306
1513261504,305
1513262404,307
1513263304,305
1513264206,307
1513265106,305
1513266006,306
1513267498,307
1513268398,307
1513269298,307
1513270198,307
1513271098,306
1513271998,306
1513272898,306
1513273798,307
1513274698,307
1513275598,307
1513276498,307
1513277398,306
1513278298,307
1513279198,307
1513280098,305
1513280998,307
1513281898,307
1513282798,307
1513283698,306
1513284598,306
1513285498,307
1513286398,307
1513287298,306
1513288198,307
1513289098,306
1513289998,307
1513290898,307
1513291798,305
1513292698,307
1513293598,305
1513294498,307
1513295398,306
1513296298,306
1513297198,305
1513298098,307
1513298998,307
1513299898,307
1513300798,306
1513301698,306
1513302598,307
1513303498,306
1513304398,306
1513305298,307
1513306198,306
1513307098,305
1513307998,307
1513308898,307
1513309798,307
1513310698,307
1513311598,307
1513312498,307
1513313398,307
1513314298,306
1513315198,307
1513316098,307
1513316998,305
1513317898,307
1513318798,307
1513319698,307
1513320598,307
1513321498,307
1513322398,307
1513323298,307
1513324198,307
1513325098,307
1513325998,307
1513326898,307
1513327798,307
1513328698,307
1513329598,305
1513330498,307
1513331398,307
1513332298,307
1513333198,307
1513334098,306
1513334998,307
1513335898,307
1513336798,305
1513337698,307
1513338598,307
1513339498,306
1513340398,307
1513341298,306
1513342198,305
1513343098,306
1513343998,307
1513344898,307
1513345798,307
1513346698,305
1513347598,307
1513348498,307
1513349398,307
1513350298,307
1513351198,306
1513352098,305
1513352998,307
1513353898,307
1513354798,307
1513355698,307
1513356598,307
1513357498,307
1513358398,307
1513359298,306
1513360198,307
1513361098,307
1513361998,307
1513362898,306
1513363798,307
1513364698,306
1513365598,307
1513366498,305
1513367398,305
1513368298,307
1513369198,307
1513370098,305
1513370998,307
1513371898,306
1513372798,307
1513373698,307
1513374598,307
1513375498,307
1513376398,307
1513377298,307
1513378198,307
1513379098,307
1513379998,307
1513380898,307
1513381798,306
1513382698,307
1513383598,305
1513384498,307
1513385398,305
1513386298,307
1513387198,307
1513388098,307
1513388998,307
1513389898,307
1513390798,307
1513391698,307
1513392598,307
1513393498,307
1513394398,305
1513395298,307
1513396198,307
1513397098,307
1513397998,307
1513398898,307
1513399798,305
1513400698,307
1513401598,305
1513402498,306
1513403398,307
1513404298,307
1513405198,307
1513406098,307
1513406998,307
1513407898,307
1513408798,307
1513409698,307
1513410598,307
1513411498,307
1513412398,305
1513413298,307
1513414198,307
1513415098,307
1513415998,307
1513416898,307
1513417798,307
1513418698,307
1513419598,305
1513420498,307
1513421398,307
1513422298,305
1513423198,307
1513424098,305
1513424998,307
1513425898,306
1513426798,305
1513427698,305
1513428598,307
1513429498,307
1513430398,307
1513431298,306
1513432198,306
1513433098,305
1513433998,306
1513434898,307
1513435798,305
1513436698,307
1513437598,306
1513438498,307
1513439398,307
1513440298,306
1513441198,307
1513442098,307
1513442998,305
1513443898,307
1513444798,307
1513445698,307
1513446598,307
1513447498,306
1513448398,307
1513449298,307
1513450198,307
1513451098,307
1513451998,307
1513452898,307
1513453798,307
1513454698,307
1513455598,307
1513456498,307
1513457398,305
1513458298,307
1513459198,307
1513460098,307
1513460998,307
1513461898,307
1513462798,307
1513463698,307
1513464598,306
1513465498,307
1513466398,307
1513467298,307
1513468198,307
1513469098,306
1513469998,307
1513470898,307
1513471798,307
1513472698,307
1513473598,307
1513474498,305
1513475398,307
1513476298,306
1513477198,306
1513478098,307
1513478998,307
1513479898,307
1513480798,307
1513481698,307
1513482598,305
1513483498,307
1513484398,307
1513485298,307
1513486198,307
1513487098,306
1513487998,307
1513488898,305
1513489798,307
1513490698,307
1513491598,305
1513492498,307
1513493398,307
1513494298,306
1513495198,307
1513496098,307
1513496998,305
1513497898,307
1513498798,307
1513499698,305
1513500598,305
1513501498,307
1513502398,305
1513503298,307
1513504198,307
1513505098,307
1513505998,307
1513506898,305
1513507798,305
1513508698,307
1513509598,305
1513510498,307
1513511398,307
1513512298,307
1513513198,306
1513514098,307
1513514998,307
1513515898,305
1513516798,306
1513517698,307
1513518598,307
1513519498,307
1513520398,307
1513521298,307
1513522198,307
1513523098,306
1513523998,306
1513524898,307
1513525798,307
1513526698,305
1513527598,307
1513528498,307
1513529398,306
1513530298,305
1513531198,307
1513532098,307
1513532998,306
1513533898,307
1513534798,307
1513535698,305
1513536598,306
1513537498,307
1513538398,307
1513539298,307
1513540198,307
1513541098,306
1513541998,306
1513542898,307
1513543798,306
1513544698,307
1513545598,305
1513546498,307
1513547398,306
1513548298,307
1513549198,306
1513550098,307
1513550998,307
1513551898,306
1513552798,307
1513553698,306
1513554598,307
1513555498,307
1513556398,307
1513557298,306
1513558198,307
1513559098,307
1513559998,306
1513560898,307
1513561798,307
1513562698,307
1513563598,305
1513564498,307
1513565398,307
1513566298,307
1513567198,306
1513568098,307
1513568998,307
1513569898,307
1513570798,307
1513571698,307
1513572598,307
1513573498,307
1513574398,306
