t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,33,0.465000,0.012630,0.001000,0.029128,0.002000,0.018000,0.039000,0.039000,0.039000,0.465000,0.075130,0.012775,0.178339,0.395338,calls/second,seconds
1519238358,10,0.003000,0.001871,0.001000,0.000352,0.002000,0.002000,0.002000,0.002000,0.002000,0.003000,0.013523,0.008885,0.030917,0.096298,calls/second,seconds
1519239258,10,0.003000,0.001515,0.001000,0.000683,0.001000,0.002000,0.003000,0.003000,0.003000,0.003000,0.013627,0.052225,0.036941,0.097623,calls/second,seconds
1519240158,6,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.008177,0.007454,0.024813,0.093318,calls/second,seconds
1519241058,29,13.886000,0.014269,0.001000,0.342112,0.002000,0.002000,0.011000,0.011000,0.015000,0.311000,0.037076,0.013995,0.052727,0.187102,calls/second,seconds
1519241958,23,0.325000,0.040819,0.001000,0.092471,0.010000,0.015000,0.325000,0.325000,0.325000,0.325000,0.031340,0.038874,0.049844,0.106860,calls/second,seconds
1519242858,25,0.316000,0.040412,0.001000,0.087733,0.012000,0.019000,0.316000,0.316000,0.316000,0.316000,0.028690,0.069320,0.077939,0.322534,calls/second,seconds
1519243758,5,0.017000,0.013854,0.010000,0.001909,0.014000,0.014000,0.017000,0.017000,0.017000,0.017000,0.006814,0.002670,0.023871,0.092735,calls/second,seconds
1519244658,5,0.015000,0.010547,0.010000,0.001374,0.010000,0.010000,0.014000,0.014000,0.014000,0.014000,0.006781,0.014633,0.025984,0.092604,calls/second,seconds
1519245558,1,0.014000,0.014000,0.014000,0.000000,0.014000,0.014000,0.014000,0.014000,0.014000,0.014000,0.001363,0.000001,0.017844,0.089368,calls/second,seconds
1519662441,9,0.475000,0.006630,0.002000,0.044664,0.002000,0.002000,0.004000,0.021000,0.021000,0.475000,0.016599,0.000416,0.072252,0.225330,calls/second,seconds
