t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,71,2.318000,0.103555,0.000000,0.346374,0.002000,0.003000,1.347000,1.367000,1.367000,1.367000,0.160474,0.096003,0.211894,0.306521,calls/second,seconds
1519238358,35,1.412000,0.122543,0.000000,0.378029,0.001000,0.001000,1.298000,1.299000,1.299000,1.299000,0.041373,0.078851,0.064514,0.106108,calls/second,seconds
1519239258,43,1.411000,0.245874,0.000000,0.498065,0.002000,0.002000,1.265000,1.265000,1.265000,1.265000,0.051173,0.025039,0.048563,0.106634,calls/second,seconds
1519240158,27,1.296000,0.239956,0.000000,0.485702,0.002000,0.002000,1.257000,1.257000,1.257000,1.267000,0.032133,0.025023,0.040975,0.097353,calls/second,seconds
1519241058,79,1.564000,0.099658,0.000000,0.368830,0.002000,0.002000,1.527000,1.527000,1.527000,1.527000,0.094004,0.194653,0.135509,0.142530,calls/second,seconds
1519241958,70,1.556000,0.159968,0.000000,0.440683,0.002000,0.002000,1.380000,1.388000,1.388000,1.556000,0.078862,0.042826,0.114555,0.490482,calls/second,seconds
1519242858,253,3.519000,0.055726,0.000000,0.252249,0.009000,0.013000,0.021000,1.328000,1.328000,1.526000,0.290119,0.277469,0.207543,0.307650,calls/second,seconds
1519243758,23,1.398000,0.107640,0.000000,0.365267,0.002000,0.002000,1.364000,1.364000,1.364000,1.364000,0.026550,0.014299,0.032473,0.091495,calls/second,seconds
1519244658,21,1.470000,0.115885,0.000000,0.393301,0.002000,0.002000,1.470000,1.470000,1.470000,1.470000,0.024890,0.014123,0.032942,0.092743,calls/second,seconds
1519245558,5,1.369000,0.374365,0.000000,0.609308,0.002000,1.369000,1.369000,1.369000,1.369000,1.369000,0.005952,0.000000,0.013502,0.081040,calls/second,seconds
1519662441,17,2.356000,0.049631,0.001000,0.253657,0.002000,0.002000,0.002000,1.383000,1.383000,1.383000,0.031105,0.015338,0.085311,0.231230,calls/second,seconds
