t,count
1519384676,1
1519385576,1
1519386476,1
1519387376,1
1519388276,2
1519389176,2
1519390076,2
1519390976,2
1519391876,3
1519392776,3
1519393676,3
1519394576,3
1519395476,4
1519396376,4
1519397276,4
1519398176,4
1519399076,5
1519399976,5
1519400876,5
1519401776,5
1519402676,5
1519403576,5
1519404476,5
1519405376,5
1519406276,5
1519407176,5
1519408076,5
1519408976,5
1519409876,5
1519410776,5
1519411676,5
1519412576,5
1519413476,5
1519414376,5
1519415276,5
1519416176,5
1519417076,5
1519417976,5
1519418876,5
1519419776,5
1519420676,5
1519421576,5
1519422476,5
1519423376,5
1519424276,5
1519425176,5
1519426076,5
1519426976,5
1519427876,5
1519428776,5
1519429676,5
1519430576,5
1519431476,5
1519432376,5
1519433276,5
1519434176,5
1519435076,5
1519435976,5
1519436876,5
1519437776,5
1519438676,5
1519439576,5
1519440476,5
1519441376,5
1519442276,5
1519443176,5
1519444076,5
1519444976,5
1519445876,5
1519446776,5
1519447676,5
1519448576,5
1519449476,5
1519450376,5
1519451276,5
1519452176,5
1519453076,5
1519453976,5
1519454876,5
1519455776,5
1519456676,5
1519457576,5
1519458476,5
1519459376,5
1519460276,5
1519461176,5
1519462076,5
1519462976,5
1519463876,5
1519464776,5
1519465676,5
1519466576,5
1519467476,5
1519468376,5
1519469276,5
1519470176,5
1519471076,5
1519471976,5
1519472876,5
1519473776,5
1519474676,5
1519475576,5
1519476476,5
1519477376,5
1519478276,5
1519479176,5
1519480076,5
1519480976,5
1519481876,5
1519482776,5
1519483676,5
1519484576,5
1519485476,5
1519486376,5
1519487276,5
1519488176,5
1519489076,5
1519489976,5
1519490876,5
1519491776,5
1519492676,5
1519493576,5
1519494476,5
1519495376,5
1519496276,5
1519497176,5
1519498076,5
1519498976,5
1519499876,5
1519500776,5
1519501676,5
1519502576,5
1519503476,5
1519504376,5
1519505276,5
1519506176,5
1519507076,5
1519507976,5
1519508876,5
1519509776,5
1519510676,5
1519511576,5
1519512476,5
1519513376,5
1519514276,5
1519515176,5
1519516076,5
1519516976,5
1519517876,5
1519518776,5
1519519676,5
1519520576,5
1519521476,5
1519522376,5
1519523276,5
1519524176,5
1519525076,5
1519525976,5
1519526876,5
1519527776,5
1519528676,5
1519529576,5
1519530476,5
1519531376,5
1519532276,5
1519533176,5
1519534076,5
1519534976,5
1519535876,5
1519536776,5
1519537676,5
1519538576,5
1519539476,5
1519540376,5
1519541276,5
1519542176,5
1519543076,5
1519543976,5
1519544876,5
1519545776,5
1519546676,5
1519547576,5
1519548476,5
1519549376,5
1519550276,5
1519551176,5
1519552076,5
1519552976,5
1519553876,5
1519554776,5
1519555676,5
1519556576,5
1519557476,5
1519558376,5
1519559276,5
1519560176,5
1519561076,5
1519561976,5
1519562876,5
1519563776,5
1519564676,5
1519565576,5
1519566476,5
1519567376,5
1519568276,5
1519569176,5
1519570076,5
1519570976,5
1519571876,5
1519572776,5
1519573676,5
1519574576,5
1519575476,5
1519576376,5
1519577276,5
1519578176,5
1519579076,5
1519579976,5
1519580876,5
1519581776,5
1519582676,5
1519583576,5
1519584476,5
1519585376,5
1519586276,5
1519587176,5
1519588076,5
1519588976,5
1519589876,5
1519590776,5
1519591676,5
1519592576,5
1519593476,5
1519594376,5
1519595276,5
1519596176,5
1519597076,5
1519597976,5
1519598876,5
1519599776,5
1519600676,5
1519601576,5
1519602476,5
1519603376,5
1519604276,5
1519605176,5
1519606076,5
1519606976,5
1519607876,5
1519608776,5
1519609676,5
1519610576,5
1519611476,5
1519612376,5
1519613276,5
1519614176,5
1519615076,5
1519615976,5
1519616876,5
1519617776,5
1519618676,5
1519619576,5
1519620476,5
1519621376,5
1519622276,5
1519623176,5
1519624076,5
1519624976,5
1519625876,5
1519626776,5
1519627676,5
1519628576,5
1519629476,5
1519630376,5
1519631276,5
1519632176,5
1519633076,5
1519633976,5
1519634876,5
1519635776,5
1519636676,5
1519637576,5
1519638476,5
1519639376,5
1519640276,5
1519641176,5
1519642076,5
1519642976,5
1519643876,5
1519644776,5
1519645676,5
1519646576,5
1519647476,5
1519648376,5
1519649276,5
1519650176,5
1519651076,5
1519651976,5
1519652876,5
1519653776,5
1519654676,5
1519655576,5
1519656476,5
1519657376,5
1519658276,5
1519659176,5
