t,count
1515104961,4
1515105861,4
1515106761,4
1515107661,4
1515108561,4
1515109461,4
1515110361,4
1515111261,4
1515112161,4
1515113061,4
1515113961,4
1515114861,4
1515115761,8
1515116661,10
1515117561,10
1515118461,10
1515119361,10
1515120261,10
1515121161,10
1515122061,10
1515122961,10
1515123861,10
1515124761,10
1515125661,10
1515126561,10
1515127461,10
1515128361,10
1515129261,10
1515130161,10
1515131061,10
1515131961,10
1515132861,10
1515133761,10
1515134661,10
1515135561,10
1515136461,10
1515137361,10
1515138261,10
1515139161,10
1515140061,10
1515140961,10
1515141861,10
1515142761,10
1515143661,10
1515144561,10
1515145461,10
1515146361,10
1515147261,10
1515148161,10
1515149061,10
1515149961,10
1515150861,10
1515151761,10
1515152661,10
1515153561,10
1515154461,10
1515155361,10
1515156261,10
1515157161,10
1515158061,14
1515158961,16
1515159861,22
1515160761,22
1515161661,22
1515162561,22
1515163461,22
1515164361,22
1515165261,22
1515166161,22
1515167061,22
1515167961,22
1515168861,22
1515169761,28
1515170661,28
1515171561,28
1515172461,28
1515173361,28
1515174261,28
1515175161,28
1515176061,28
1515176961,28
1515177861,28
1515178761,28
1515179661,28
1515180561,28
1515181461,28
1515182361,28
1515183261,28
1515184161,28
1515185061,28
1515185961,28
1515186861,28
1515187761,28
1515188661,28
1515189561,28
1515190461,28
1515191361,28
1515192261,28
1515193161,28
1515194061,32
1515194961,36
1515195861,38
1515196761,38
1515197661,38
1515198561,38
1515199461,38
1515200361,38
1515201261,38
1515202161,38
1515203061,38
1515203961,38
1515204861,38
1515205761,38
1515206661,38
1515207561,38
1515208461,38
1515209361,38
1515210261,38
1515211161,38
1515212061,38
1515212961,38
1515213861,38
1515214761,38
1515215661,38
1515216561,38
1515217461,38
1515218361,38
1515219261,38
1515220161,38
1515221061,38
1515221961,38
1515222861,38
1515223761,38
1515224661,38
1515225561,38
1515226461,38
1515227361,38
1515228261,38
1515229161,38
1515230061,38
1515230961,38
1515231861,38
1515232761,38
1515233661,38
1515234561,38
1515235461,38
1515236361,38
1515237261,38
1515238161,38
1515239061,38
1515239961,38
1515240861,38
1515241761,38
1515242661,38
1515243561,38
1515244461,38
1515245361,38
1515246261,38
1515247161,38
1515248061,38
1515248961,38
1515249861,38
1515250761,38
1515251661,38
1515252561,38
1515253461,38
1515254361,38
1515255261,38
1515256161,38
1515257061,38
1515257961,38
1515258861,38
1515259761,38
1515260661,38
1515261561,38
1515262461,38
1515263361,38
1515264261,38
1515265161,38
1515266061,38
1515266961,38
