t,count
1515104961,6
1515105861,6
1515106761,6
1515107661,6
1515108561,6
1515109461,6
1515110361,6
1515111261,6
1515112161,6
1515113061,6
1515113961,6
1515114861,6
1515115761,11
1515116661,16
1515117561,16
1515118461,16
1515119361,16
1515120261,16
1515121161,16
1515122061,16
1515122961,16
1515123861,16
1515124761,16
1515125661,16
1515126561,16
1515127461,16
1515128361,16
1515129261,16
1515130161,16
1515131061,16
1515131961,16
1515132861,16
1515133761,16
1515134661,16
1515135561,16
1515136461,16
1515137361,16
1515138261,16
1515139161,16
1515140061,16
1515140961,16
1515141861,16
1515142761,16
1515143661,16
1515144561,16
1515145461,16
1515146361,16
1515147261,16
1515148161,16
1515149061,16
1515149961,16
1515150861,16
1515151761,16
1515152661,16
1515153561,16
1515154461,16
1515155361,16
1515156261,16
1515157161,16
1515158061,21
1515158961,26
1515159861,36
1515160761,36
1515161661,36
1515162561,36
1515163461,36
1515164361,36
1515165261,36
1515166161,36
1515167061,36
1515167961,36
1515168861,36
1515169761,46
1515170661,72
1515171561,72
1515172461,72
1515173361,72
1515174261,72
1515175161,72
1515176061,72
1515176961,72
1515177861,72
1515178761,72
1515179661,72
1515180561,72
1515181461,72
1515182361,72
1515183261,72
1515184161,72
1515185061,72
1515185961,72
1515186861,72
1515187761,72
1515188661,72
1515189561,72
1515190461,72
1515191361,72
1515192261,72
1515193161,72
1515194061,77
1515194961,83
1515195861,88
1515196761,88
1515197661,88
1515198561,88
1515199461,88
1515200361,88
1515201261,88
1515202161,88
1515203061,88
1515203961,88
1515204861,88
1515205761,88
1515206661,88
1515207561,88
1515208461,88
1515209361,88
1515210261,88
1515211161,88
1515212061,88
1515212961,88
1515213861,88
1515214761,88
1515215661,88
1515216561,88
1515217461,88
1515218361,88
1515219261,88
1515220161,88
1515221061,88
1515221961,88
1515222861,88
1515223761,88
1515224661,88
1515225561,88
1515226461,88
1515227361,88
1515228261,88
1515229161,88
1515230061,88
1515230961,88
1515231861,88
1515232761,88
1515233661,88
1515234561,88
1515235461,88
1515236361,88
1515237261,88
1515238161,88
1515239061,88
1515239961,88
1515240861,88
1515241761,88
1515242661,88
1515243561,88
1515244461,88
1515245361,88
1515246261,88
1515247161,88
1515248061,88
1515248961,88
1515249861,88
1515250761,88
1515251661,88
1515252561,88
1515253461,88
1515254361,88
1515255261,88
1515256161,88
1515257061,88
1515257961,88
1515258861,88
1515259761,88
1515260661,88
1515261561,88
1515262461,88
1515263361,88
1515264261,88
1515265161,88
1515266061,88
1515266961,88
1515267861,88
1515268761,88
1515269661,88
1515270561,88
1515271461,88
1515272361,88
1515273261,88
1515274161,88
1515275061,88
